"0xef8004","Battle Palette Pointer","##UNKNOWN##"
"0x27 Tirado (General)","0x8ef9d2c","0x726f66"
"0x28 Forde (Great Knight)","0x8ef9d68","0x617266"
"0x29 Franz (Great Knight)","0x8ef9dd4","0x6c6967"
"0x2A Gilliam (Great Knight)","0x8ef9e28","0x6c796b"
"0x2B Kyle (Great Knight)","0x8ef9e7c","0x656d61"
"0x2C Amelia (Great Knight)","0x8ef9ed0","0x737564"
"0x2D Duessel (Great Knight)","0x8ef9f20","0x616961"
"0x2E Aias (Great Knight)","0x8ef9f84","0x74756c"
"0x2F Lute (Mage)","0x8ef9fc0","0x617765"
"0x30 Ewan (Mage)","0x8efa014","0x737978"
"0x31 Gerik (Mercenary)","0x8efa06c","0x6e6f7a"
"0x32 Zonta (Mercenary)","0x8efa0c4","0x617765"
"0x33 Ewan (Mage Knight)","0x8efa100","0x72616c"
"0x34 L'Arachel (Mage Knight)","0x8efa150","0x74756c"
"0x35 Lute (Mage Knight)","0x8efa1a0","0x6c6563"
"0x36 Selena (Mage Knight)","0x8efa1f0","0x737361"
"0x37 Artur (Monk)","0x8efa22c","0x6f686a"
"0x38 Joshua (Myrmidon)","0x8efa280","0x72616d"
"0x39 Marisa (Myrmidon)","0x8efa2dc","0x656d61"
"0x3A Amelia (Paladin)","0x8efa338","0x726f66"
"0x3B Forde (Paladin)","0x8efa398","0x746573"
"0x3C Seth (Paladin)","0x8efa3e8","0x617266"
"0x3D Franz (Paladin)","0x8efa430","0x6c796b"
"0x3E Kyle (Paladin)","0x8efa480","0x736c6f"
"0x3F Orson (Paladin)","0x8efa4d0","0x6e6176"
"0x40 Vanessa (Peg Knight)","0x8efa50c","0x727574"
"0x41 Tana (Peg Knight)","0x8efa55c","0x736f72"
"0x42 Ross (Hero)","0x8efa5ac","0x74616e"
"0x43 Natasha (Cleric)","0x8efa5fc","0x6d6f63"
"0x44 Colm (Rogue)","0x8efa660","0x6c756d"
"0x45 Moulder (Priest)","0x8efa6b4","0x6e6572"
"0x46 Rennac (Rogue)","0x8efa710","0x74756c"
"0x47 Lute (Sage)","0x8efa770","0x737361"
"0x48 Artur (Sage)","0x8efa7c0","0x617765"
"0x49 Ewan (Sage)","0x8efa814","0x6f6e6b"
"0x4A ???","0x8efa868","0x6c756d"
"0x4B Moulder (Sage)","0x8efa8bc","0x6c6173"
"0x4C Saleh (Sage)","0x8efa910","0x617765"
"0x4D Ewan (Druid)","0x8efa964","0x6f6e6b"
"0x4E Knoll (Shaman)","0x8efa9b8","0x766f6e"
"0x4F Novala (Shaman)","0x8efaa0c","0x617765"
"0x50 Ewan (Summoner)","0x8efaa48","0x6f6e6b"
"0x51 Knoll (Summoner)","0x8efaa98","0x616568"
"0x52 Innes (Sniper)","0x8efaae0","0x72656d"
"0x53 Neimi (Sniper)","0x8efab34","0x656d61"
"0x54 Amelia (Cavalier)","0x8efab8c","0x617266"
"0x55 Franz (Cavalier)","0x8efabdc","0x6c796b"
"0x56 Kyle (Cavalier)","0x8efac2c","0x726f66"
"0x57 Forde (Cavalier)","0x8efac7c","0x72756d"
"0x58 Murray (Cavalier)","0x8efaccc","0x687369"
"0x59 Ismaire (Swordmaster)","0x8efad08","0x796568"
"0x5A Hayden (Ranger)","0x8efad44","0x646166"
"0x5B Fado (General)","0x8efad80","0x6f686a"
"0x5C Joshua (Swordmaster)","0x8efadbc","0x72616d"
"0x5D Marisa (Swordmaster)","0x8efae10","0x6d6f63"
"0x5E Colm (Thief)","0x8efae64","0x726163"
"0x5F Carlyle (Swordmaster)","0x8efaeac","0x72616c"
"0x60 L'Arachel (Valkyrie)","0x8efaee8","0x74616e"
"0x61 Natasha (Valkyrie)","0x8efaf4c","0x72616c"
"0x62 L'Arachel (Troubadour)","0x8efafb0","0x726167"
"0x63 Garcia (Warrior)","0x8efb004","0x736f72"
"0x64 Ross (Warrior)","0x8efb054","0x6e6962"
"0x65 Binks (Warrior)","0x8efb0a4","0x727574"
"0x66 Tana (WyvernKnight)","0x8efb0e0","0x6e6176"
"0x67 Vanessa (WyvernKnight)","0x8efb13c","0x677563"
"0x68 Cormag (WyvernKnight)","0x8efb194","0x6c6177"
"0x69 Valter (WyvernKnight)","0x8efb1f0","0x626567"
"0x6A Gheb (Berserker)","0x8efb22c","0x626170"
"0x6B Pablo (Sage)","0x8efb268","0x746563"
"0x6C Caellach (Hero)","0x8efb2a4","0x0"
"0x6D (Something beyond point?)","0x0","0x0"
"0x6E","0x0","0x0"
"0x6F","0x0","0x0"
"0x70","0x0","0x0"
"0x71","0x0","0x0"
"0x72","0x0","0x0"
"0x73","0x0","0x0"
"0x74","0x0","0x0"
"0x75","0x0","0x0"
"0x76","0x0","0x0"
"0x77","0x0","0x0"
"0x78","0x0","0x0"
"0x79","0x0","0x0"
"0x7A","0x0","0x0"
"0x7B","0x0","0x0"
"0x7C","0x0","0x0"
"0x7D","0x0","0x0"
"0x7E","0x0","0x0"
"0x7F","0x0","0x0"
"0x80","0x0","0x0"
"0x81","0x0","0x0"
"0x82","0x0","0x0"
"0x83","0x0","0x0"
"0x84","0x0","0x0"
"0x85","0x0","0x0"
"0x86","0x0","0x0"
"0x87","0x0","0x0"
"0x88","0x0","0x0"
"0x89","0x0","0x0"
"0x8A","0x0","0x0"
"0x8B","0x0","0x0"
"0x8C","0x0","0x0"
"0x8D","0x0","0x0"
"0x8E","0x0","0x0"
"0x8F","0x0","0x0"
"0x90","0x0","0x0"
"0x91","0x0","0x0"
"0x92","0x0","0x0"
"0x93","0x0","0x0"
"0x94","0x0","0x0"
"0x95","0x0","0x0"
"0x96","0x0","0x0"
"0x97","0x0","0x0"
"0x98","0x0","0x0"
"0x99","0x0","0x0"
"0x9A","0x0","0x0"
"0x9B","0x0","0x0"
"0x9C","0x0","0x0"
"0x9D","0x0","0x0"
"0x9E","0x0","0x0"
"0x9F","0x0","0x0"
"0xA0","0x0","0x0"
"0xA1","0x0","0x0"
"0xA2","0x0","0x0"
"0xA3","0x0","0x0"
"0xA4","0x0","0x0"
"0xA5","0x0","0x0"
"0xA6","0x0","0x0"
"0xA7","0x0","0x0"
"0xA8","0x0","0x0"
"0xA9","0x0","0x0"
"0xAA","0x0","0x0"
"0xAB","0x0","0x0"
"0xAC","0x0","0x0"
"0xAD","0x0","0x0"
"0xAE","0x0","0x0"
"0xAF","0x0","0x0"
"0xB0","0x0","0x0"
"0xB1","0x0","0x0"
"0xB2","0x0","0x0"
"0xB3","0x0","0x0"
"0xB4","0x0","0x0"
"0xB5","0x0","0x0"
"0xB6","0x0","0x0"
"0xB7","0x0","0x0"
"0xB8","0x0","0x0"
"0xB9","0x0","0x0"
"0xBA","0x0","0x0"
"0xBB","0x0","0x0"
"0xBC","0x0","0x0"
"0xBD","0x0","0x0"
"0xBE","0x0","0x0"
"0xBF","0x0","0x0"
"0xC0","0x0","0x0"
"0xC1","0x0","0x0"
"0xC2","0x0","0x0"
"0xC3","0x0","0x0"
"0xC4","0x0","0x0"
"0xC5","0x0","0x0"
"0xC6","0x0","0x0"
"0xC7","0x0","0x0"
"0xC8","0x0","0x0"
"0xC9","0x0","0x0"
"0xCA","0x0","0x0"
"0xCB","0x0","0x0"
"0xCC","0x0","0x0"
"0xCD","0x0","0x0"
"0xCE","0x0","0x0"
"0xCF","0x0","0x0"
"0xD0","0x0","0x0"
"0xD1","0x0","0x0"
"0xD2","0x0","0x0"
"0xD3","0x0","0x0"
"0xD4","0x0","0x0"
"0xD5","0x0","0x0"
"0xD6","0x0","0x0"
"0xD7","0x0","0x0"
"0xD8","0x0","0x0"
"0xD9","0x0","0x0"
"0xDA","0x0","0x0"
"0xDB","0x0","0x0"
"0xDC","0x0","0x0"
"0xDD","0x0","0x0"
"0xDE","0x0","0x0"
"0xDF","0x0","0x0"
"0xE0","0x0","0x0"
"0xE1","0x0","0x0"
"0x62","0x0","0x0"
"0xE3","0x0","0x0"
"0xE4","0x0","0x0"
"0xE5","0x0","0x0"
"0xE6","0x0","0x0"
"0xE7","0x0","0x0"
"0xE8","0x0","0x0"
"0xE9","0x0","0x0"
"0xEA","0x0","0x0"
"0xEB","0x0","0x0"
"0xEC","0x0","0x0"
"0xED","0x0","0x0"
"0xEE","0x0","0x0"
"0xEF","0x0","0x0"
"0xF0","0x0","0x0"
"0xF1","0x0","0x0"
"0xF2","0x0","0x0"
"0xF3","0x0","0x0"
"0xF4","0x0","0x0"
"0xF5","0x0","0x0"
"0xF6","0x0","0x0"
"0xF7","0x0","0x0"
"0xF8","0x0","0x0"
"0xF9","0x0","0x0"
"0xFA","0x0","0x0"
"0xFB","0x0","0x0"
"0xFC","0x0","0x0"
"0xFD","0x0","0x0"
"0xFE","0x0","0x0"
"0xFF","0x0","0xa0100000000000000000"
