"0xe60000","+00 Weapon Type","+01 All weapons or a certain one?","+02 Animation Played","+03 Separator (always zero)","+04 Weapon Type","+05 All weapons or a certain one?","+06 Animation Played","+07 Separator (always zero)","+08 Weapon Type","+09 All weapons or a certain one?","+0A Animation Played","+0B Separator (always zero)","+0C Weapon Type","+0D All weapons or a certain one?","+0E Animation Played","+0F Separator (always zero)"
"0x8E60210","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60220","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60230","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60240","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60250","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60260","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60270","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60280","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60290","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E602A0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E602B0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E602C0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E602D0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E602E0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E602F0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60300","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60310","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60320","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60330","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60340","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60350","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60360","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60370","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60380","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60390","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E603A0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E603B0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E603C0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E603D0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E603E0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E603F0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60400","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60410","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60420","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60430","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60440","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60450","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60460","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60470","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60480","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60490","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E604A0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E604B0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E604C0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E604D0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E604E0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E604F0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60500","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60510","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60520","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60530","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60540","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60550","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60560","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60570","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60580","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60590","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E605A0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E605B0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E605C0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E605D0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E605E0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E605F0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60600","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60610","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60620","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60630","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x63","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
