"0x8bde58","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xb","0x2","0x7","0x0","0x50","135","4","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x8d","0x3f","0x0","0x7d","195","1","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0xe","0xa","0x0"
"0xe","0x8d","0x3f","0x0","0x7d","2","2","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0xe","0xa","0x0"
"0xf","0x8d","0x7","0x0","0x25","67","2","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x0","0x12","0x8","0x0"
"0x10","0x8d","0x7","0x0","0x25","68","2","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x11","0x8d","0x4c","0x0","0x25","0","2","0x0","0x0","0x0","0x3f","0x6d","0x0","0x0","0x0","0x12","0xa","0x0"
"0x12","0x8d","0x4c","0x0","0x25","64","2","0x0","0x0","0x0","0x3f","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x13","0x8d","0x11","0x0","0x25","206","4","0x0","0x0","0x0","0x4","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x14","0x8d","0x11","0x0","0x25","14","5","0x0","0x0","0x0","0x4","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x15","0x8d","0x11","0x0","0x25","208","4","0x0","0x0","0x0","0x21","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x16","0x8d","0x11","0x0","0x25","16","37","0x0","0x0","0x0","0x23","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x17","0x8d","0x25","0x0","0x8d","82","3","0x0","0x0","0x0","0x3a","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x18","0x8d","0x25","0x0","0x8d","145","35","0x0","0x0","0x0","0x3a","0x68","0x0","0x0","0x3","0x3","0x9","0x0"
"0x19","0x8d","0x27","0x0","0x25","19","35","0x0","0x0","0x0","0x3c","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x1a","0x8d","0x1f","0x0","0x85","193","0","0x0","0x0","0x0","0x15","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1b","0x8d","0x1f","0x0","0x85","67","0","0x0","0x0","0x0","0x15","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1c","0x8d","0x1f","0x0","0x85","130","0","0x0","0x0","0x0","0x15","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1d","0x8d","0x1f","0x0","0x85","64","0","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x1e","0x8d","0x1f","0x0","0x85","1","0","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x1f","0x8d","0x15","0x0","0x2d","84","2","0x0","0x0","0x0","0xd","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x8d","0x2f","0x0","0x1d","211","1","0x0","0x0","0x0","0x47","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0x8d","0x2f","0x0","0x1d","212","1","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x8d","0x2f","0x0","0x1d","213","1","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x40","0x4f","0x0","0x74","148","33","0x0","0x0","0x0","0x49","0x47","0x0","0x0","0x3","0x3","0x9","0x20"
"0x24","0x8d","0x21","0x0","0x1d","65","0","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x25","0x8d","0x43","0x0","0x1d","198","0","0x0","0x0","0x0","0x21","0x60","0x0","0x0","0x0","0x3","0xa","0x0"
"0x26","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x21","0x49","0x0","0xa","77","1","0x0","0x3","0x88bdd00","0x17","0x1c","0x0","0x0","0x3","0x3","0x0","0x0"
"0x28","0xf7","0x70","0x0","0xa","77","1","0x0","0x2","0x88bdd18","0x0","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x29","0xf6","0x6f","0x0","0xa","77","1","0x0","0x1","0x88bdd28","0x0","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x2a","0xf5","0x6e","0x0","0xa","77","1","0x0","0x1","0x88bdd30","0x0","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x2b","0xf4","0x6d","0x0","0xa","77","1","0x0","0x1","0x88bdd38","0x0","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x2c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x8d","0x2f","0x0","0x1d","148","1","0x0","0x1","0x88bdd40","0x47","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0x8d","0x2f","0x0","0x1d","148","1","0x0","0x1","0x88bdd48","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0x8d","0x2f","0x0","0x1d","148","1","0x0","0x1","0x88bdd50","0x45","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0x8d","0x40","0x0","0x1d","20","5","0x0","0x0","0x0","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0x8d","0x40","0x0","0x1d","213","4","0x0","0x0","0x0","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x8d","0x1f","0x0","0x8d","0","0","0x0","0x1","0x88bdd58","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x35","0x8d","0x1f","0x0","0x8d","0","0","0x0","0x1","0x88bdd60","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x36","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0x8d","0x5","0x0","0x85","0","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x38","0x8d","0x5","0x0","0x85","64","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x39","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3a","0x8d","0x7","0x0","0x25","0","2","0x0","0x0","0x0","0x4","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3b","0x8d","0x35","0x0","0x25","64","2","0x0","0x0","0x0","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3d","0x8d","0x1f","0x0","0x55","0","2","0x0","0x1","0x88bdd68","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3e","0xc0","0x7","0x0","0xb","68","3","0x0","0x1","0x88bdd70","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0xc1","0x5","0x0","0xb","67","3","0x0","0x1","0x88bdd78","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x8f","0x1f","0x0","0x85","192","1","0x0","0x1","0x88bdd80","0x0","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x41","0xc1","0x5","0x0","0xb","68","3","0x0","0x1","0x88bdd88","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x8f","0x1f","0x0","0x85","64","2","0x0","0x1","0x88bdd90","0x0","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x43","0xc1","0x5","0x0","0xb","67","3","0x0","0x1","0x88bdd98","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0x8f","0x1f","0x0","0x85","128","2","0x0","0x1","0x88bdda0","0x0","0x0","0x0","0x0","0x0","0x12","0xa","0x0"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0xc0","0x49","0x0","0xb","10","4","0x0","0x2","0x88bdda8","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x8d","0x27","0x0","0x3d","77","33","0x0","0x2","0x88bddb8","0x3c","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x48","0xc1","0x48","0x0","0xb","197","2","0x0","0x1","0x88bddc8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x8f","0x25","0x0","0x8d","77","1","0x0","0x1","0x88bddd0","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4b","0x8d","0x2f","0x0","0x1d","148","1","0x0","0x1","0x88bddd8","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0x8f","0x2f","0x0","0x1d","148","1","0x0","0x1","0x88bdde0","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4d","0x8f","0x2f","0x0","0x1d","148","1","0x0","0x1","0x88bdde8","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4e","0xc0","0xb","0x0","0xb","21","3","0x0","0x1","0x88bddf0","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0xc1","0x9","0x0","0xb","22","3","0x0","0x1","0x88bddf8","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x50","0xc1","0x9","0x0","0xb","18","3","0x0","0x1","0x88bde00","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x52","0xb","0x1b","0x0","0x8","6","5","0x0","0x1","0x88bde08","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0x1","0x2","0x0","0x8","7","5","0x0","0x1","0x88bde10","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0xf","0x1","0x0","0x8","8","5","0x0","0x1","0x88bde18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x55","0x19","0x4b","0x0","0x8","7","5","0x0","0x1","0x88bde20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x56","0x1e","0x3c","0x0","0x18","9","37","0x0","0x1","0x88bde28","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0xf","0x1","0x0","0x8","83","33","0x0","0x1","0x88bde30","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x59","0x1","0x2","0x0","0x8","83","33","0x0","0x1","0x88bde38","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0xb","0x1b","0x0","0x8","83","33","0x0","0x1","0x88bde40","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x19","0x4b","0x0","0x8","83","33","0x0","0x1","0x88bde48","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x1e","0x3c","0x0","0x8","83","33","0x0","0x1","0x88bde50","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5e","0x2","0x7","0x0","0x50","70","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x2","0x7","0x0","0x50","133","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x60","0x2","0x7","0x0","0x50","135","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x61","0x2","0x7","0x0","0x50","198","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x62","0x2","0x7","0x0","0x50","68","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x63","0x2","0x7","0x0","0x50","7","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x64","0x2","0x7","0x0","0x50","72","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x65","0x2","0x7","0x0","0x50","200","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x66","0x2","0x7","0x0","0x50","196","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x67","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x68","0x5f","0x64","0x0","0x4d","148","1","0x0","0x0","0x0","0x1d","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x69","0xbc","0x64","0x0","0x45","83","1","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x3","0x3","0xc","0x0"
"0x6a","0xbc","0x64","0x0","0x45","85","1","0x0","0x0","0x0","0x19","0x1c","0x0","0x0","0x3","0x3","0xc","0x0"
"0x6b","0xbb","0x14","0x0","0x85","210","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6c","0xbb","0x14","0x0","0x85","81","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6d","0xbb","0x14","0x0","0x85","208","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6e","0xbb","0x13","0x0","0x85","68","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6f","0xbb","0x13","0x0","0x85","131","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x70","0xbb","0x13","0x0","0x85","5","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x71","0xb0","0x6","0x0","0x85","4","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x72","0xb0","0x6","0x0","0x85","67","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x73","0xb0","0x6","0x0","0x85","19","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x74","0xb0","0x6","0x0","0x85","82","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x75","0xb0","0x6","0x0","0x85","150","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x76","0xb0","0x6","0x0","0x85","139","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x77","0xb3","0x9","0x0","0x85","85","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x78","0xb3","0x9","0x0","0x85","148","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x79","0xb3","0x9","0x0","0x85","211","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x7a","0xb0","0x6","0x0","0x85","3","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7b","0xb0","0x6","0x0","0x85","196","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7c","0xb0","0x6","0x0","0x85","69","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x7d","0xac","0x2","0x0","0x85","204","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7e","0xad","0x4","0x0","0x85","141","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7f","0xac","0x2","0x0","0x85","76","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x80","0xad","0x4","0x0","0x85","77","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x81","0xac","0x2","0x0","0x85","12","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x82","0xac","0x2","0x0","0x85","14","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x83","0xab","0x1","0x0","0x85","80","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x84","0xb0","0x6","0x0","0x85","18","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x85","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x86","0x2","0x7","0x0","0x50","70","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x87","0x2","0x7","0x0","0x50","133","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x88","0x2","0x7","0x0","0x50","135","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x89","0x2","0x7","0x0","0x50","198","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x2","0x7","0x0","0x50","68","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x2","0x7","0x0","0x50","7","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x2","0x7","0x0","0x50","72","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8d","0x2","0x7","0x0","0x50","200","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x2","0x7","0x0","0x50","196","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x90","0x5f","0x60","0x0","0x4d","148","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x91","0xb8","0x60","0x0","0x45","83","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x92","0xb8","0x60","0x0","0x45","85","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x93","0xbb","0x14","0x0","0x85","210","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x94","0xbb","0x14","0x0","0x85","81","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x95","0xbb","0x14","0x0","0x85","208","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xbb","0x13","0x0","0x85","68","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x97","0xbb","0x13","0x0","0x85","131","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x98","0xbb","0x13","0x0","0x85","5","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x99","0xb0","0x6","0x0","0x85","4","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9a","0xb0","0x6","0x0","0x85","67","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9b","0xb0","0x6","0x0","0x85","19","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9c","0xb0","0x6","0x0","0x85","82","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9d","0xb0","0x6","0x0","0x85","150","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9e","0xb0","0x6","0x0","0x85","139","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9f","0xb3","0x9","0x0","0x85","85","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa0","0xb3","0x9","0x0","0x85","148","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa1","0xb3","0x9","0x0","0x85","211","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa2","0xb0","0x6","0x0","0x85","3","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa3","0xb0","0x6","0x0","0x85","196","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa4","0xb0","0x6","0x0","0x85","69","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa5","0xac","0x2","0x0","0x85","204","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa6","0xad","0x4","0x0","0x85","141","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa7","0xac","0x2","0x0","0x85","76","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa8","0xad","0x4","0x0","0x85","77","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa9","0xac","0x2","0x0","0x85","12","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xaa","0xac","0x2","0x0","0x85","14","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xab","0xab","0x1","0x0","0x85","80","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xac","0xb0","0x6","0x0","0x85","18","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xad","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xae","0x2","0x7","0x0","0x50","70","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x2","0x7","0x0","0x50","133","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x2","0x7","0x0","0x50","135","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x2","0x7","0x0","0x50","198","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x2","0x7","0x0","0x50","68","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x2","0x7","0x0","0x50","7","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb4","0x2","0x7","0x0","0x50","72","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb5","0x2","0x7","0x0","0x50","200","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb6","0x2","0x7","0x0","0x50","196","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb8","0x5f","0x59","0x0","0x4d","148","1","0x0","0x0","0x0","0xb0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb9","0xb1","0x59","0x0","0x45","83","1","0x0","0x0","0x0","0x8b","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xba","0xb1","0x59","0x0","0x45","85","1","0x0","0x0","0x0","0x8b","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbb","0xbb","0x14","0x0","0x85","210","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
