"0x8c5fbc","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x24","0x80","0x9","0x0","0x6d","141","5","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x3","0x3","0x9","0x0"
"0x25","0x80","0x9","0x0","0x6d","143","5","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x3","0x3","0x9","0x0"
"0x26","0x80","0x3f","0x0","0x65","85","4","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0x80","0x9","0x0","0x6d","135","35","0x0","0x0","0x0","0x1c","0x16","0x6a","0x0","0x3","0x3","0x9","0x20"
"0x28","0x80","0x9","0x0","0x6d","149","35","0x0","0x0","0x0","0x1c","0x16","0x6a","0x0","0x3","0x3","0x9","0x20"
"0x29","0x80","0x19","0x0","0x65","195","3","0x0","0x0","0x0","0x34","0x63","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0x80","0x13","0x0","0x65","87","1","0x0","0x0","0x0","0xd","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0x80","0x13","0x0","0x65","69","1","0x0","0x0","0x0","0x12","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2c","0x80","0x9","0x0","0x6d","84","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0x80","0x9","0x0","0x6d","86","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0x80","0x9","0x0","0x6d","72","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0x80","0x9","0x0","0x6d","70","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0x80","0x19","0x0","0x6d","203","3","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x31","0x80","0x19","0x0","0x6d","209","3","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x32","0x80","0x19","0x0","0x6d","217","3","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x33","0x80","0xf","0x0","0x6d","8","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x34","0x80","0x9","0x0","0x6d","134","3","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x3","0x3","0x9","0x0"
"0x35","0x80","0x9","0x0","0x6d","136","3","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x3","0x3","0x9","0x0"
"0x36","0x80","0x9","0x0","0x6d","148","3","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x3","0x3","0x9","0x0"
"0x37","0x80","0x9","0x0","0x6d","150","3","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x3","0x3","0x9","0x0"
"0x38","0x80","0x1b","0x0","0x2d","206","35","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x39","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3a","0x1f","0x2d","0x0","0x50","0","0","0x0","0x0","0x0","0x45","0x47","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x1c","0x33","0x0","0xc","156","35","0x0","0x1","0x88c5ef4","0x3","0x6d","0x72","0x0","0x6","0x5","0x8","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x80","0x3f","0x0","0x6d","192","36","0x0","0x1","0x88c5efc","0x26","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3f","0x80","0x3f","0x0","0x6d","0","5","0x0","0x1","0x88c5f04","0x20","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x40","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x80","0x4e","0x0","0x6d","192","4","0x0","0x1","0x88c5f0c","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x42","0x80","0x4e","0x0","0x6d","0","5","0x0","0x1","0x88c5f14","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0x80","0x9","0x0","0x6d","192","4","0x0","0x1","0x88c5f1c","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x45","0x80","0x9","0x0","0x6d","0","5","0x0","0x1","0x88c5f24","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x80","0x25","0x0","0x6d","128","1","0x0","0x1","0x88c5f2c","0x3a","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x48","0x80","0x25","0x0","0x6d","192","1","0x0","0x1","0x88c5f34","0x3a","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x49","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x80","0x2d","0x0","0x6d","145","4","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4b","0x80","0x2d","0x0","0x6d","139","4","0x0","0x0","0x0","0x47","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0x80","0x45","0x0","0x75","7","1","0x0","0x1","0x88c5f3c","0x4e","0x4c","0x0","0x0","0xe","0x3","0x8","0x0"
"0x4e","0x80","0x2d","0x0","0x75","7","1","0x0","0x1","0x88c5f44","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4f","0x80","0x2d","0x0","0x75","7","1","0x0","0x1","0x88c5f4c","0x47","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x50","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x80","0x45","0x0","0x75","21","1","0x0","0x1","0x88c5f54","0x4e","0x4c","0x0","0x0","0xe","0x3","0x8","0x0"
"0x52","0x80","0x25","0x0","0x75","21","1","0x0","0x1","0x88c5f5c","0x39","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x53","0x80","0x25","0x0","0x75","21","1","0x0","0x1","0x88c5f64","0x39","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x54","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x55","0x83","0x4e","0x0","0xd","78","2","0x0","0x1","0x88c5f6c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x56","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x6b","0xb","0x0","0xd","142","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0xf","0x1","0x0","0x8","14","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x59","0x2","0x7","0x0","0x8","15","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5b","0xf","0x1","0x0","0x50","78","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x1d","0x35","0x0","0x50","205","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x2","0x7","0x0","0x50","76","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5e","0x1f","0x2d","0x0","0x50","80","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5f","0xd","0x4a","0x0","0x50","208","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x60","0xe","0x1f","0x0","0x50","11","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x61","0x19","0x4b","0x0","0x50","17","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x63","0xcc","0x48","0x0","0x53","142","2","0x0","0x1","0x88c5f74","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x64","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x65","0x80","0x4e","0x0","0x6d","220","4","0x0","0x1","0x88c5f7c","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x66","0x80","0x4e","0x0","0x6d","28","5","0x0","0x1","0x88c5f84","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x67","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x68","0x80","0xf","0x0","0x6d","220","4","0x0","0x1","0x88c5f8c","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x69","0x80","0xf","0x0","0x6d","28","5","0x0","0x1","0x88c5f94","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6b","0x80","0x13","0x0","0x6d","220","4","0x0","0x1","0x88c5f9c","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6c","0x80","0x13","0x0","0x6d","28","5","0x0","0x1","0x88c5fa4","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x80","0x2d","0x0","0x6d","156","1","0x0","0x1","0x88c5fac","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6f","0x80","0x2d","0x0","0x6d","220","1","0x0","0x1","0x88c5fb4","0x45","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
