"0x8b61a8","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x3a","0xb7","0x5f","0x0","0x45","142","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x3b","0xb0","0x6","0x0","0x35","72","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x3c","0xad","0xe","0x0","0x35","213","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x3d","0xad","0xe","0x0","0x35","87","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x3e","0xac","0x2","0x0","0x35","147","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x3f","0xac","0x2","0x0","0x35","208","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x40","0xac","0x2","0x0","0x35","13","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x41","0xac","0x2","0x0","0x35","22","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x42","0xac","0x2","0x0","0x35","134","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x43","0xac","0x2","0x0","0x35","71","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x44","0xb0","0x6","0x0","0x35","74","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x45","0xad","0x4","0x0","0x35","4","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x46","0xad","0x4","0x0","0x35","193","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x47","0xae","0x2","0x0","0x35","67","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x48","0xae","0x2","0x0","0x35","129","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x49","0xad","0x2","0x0","0x35","3","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4a","0xb7","0xf","0x0","0x35","23","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x4b","0xb7","0xf","0x0","0x35","154","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x4c","0xad","0x1","0x0","0x35","16","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4d","0xad","0xb","0x0","0x35","137","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4e","0xb5","0xb","0x0","0x35","64","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4f","0xae","0x2","0x0","0x35","69","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x50","0xab","0x1","0x0","0x35","196","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x51","0xaa","0x0","0x0","0x35","73","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x52","0xaa","0x0","0x0","0x35","16","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x53","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x2","0x7","0x0","0x50","12","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x55","0x2","0x7","0x0","0x50","203","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x56","0x2","0x7","0x0","0x50","140","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x57","0x2","0x7","0x0","0x50","205","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x58","0x2","0x7","0x0","0x50","14","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x59","0x2","0x7","0x0","0x50","77","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5a","0x2","0x7","0x0","0x50","140","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x2","0x7","0x0","0x50","75","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x2","0x7","0x0","0x50","10","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5e","0x5f","0x53","0x0","0x4d","141","0","0x0","0x0","0x0","0xae","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5f","0xaa","0x52","0x0","0x45","204","0","0x0","0x0","0x0","0xae","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x60","0xaa","0x52","0x0","0x45","206","0","0x0","0x0","0x0","0xae","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x61","0xb0","0x6","0x0","0x35","72","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x62","0xad","0xe","0x0","0x35","213","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x63","0xad","0xe","0x0","0x35","87","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x64","0xac","0x2","0x0","0x35","147","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x65","0xac","0x2","0x0","0x35","208","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x66","0xac","0x2","0x0","0x35","13","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x67","0xac","0x2","0x0","0x35","22","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x68","0xac","0x2","0x0","0x35","134","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x69","0xac","0x2","0x0","0x35","71","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6a","0xb0","0x6","0x0","0x35","74","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6b","0xad","0x4","0x0","0x35","4","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6c","0xad","0x4","0x0","0x35","193","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6d","0xae","0x2","0x0","0x35","67","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x6e","0xae","0x2","0x0","0x35","129","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6f","0xad","0x2","0x0","0x35","3","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x70","0xb7","0xf","0x0","0x35","23","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x71","0xb7","0xf","0x0","0x35","154","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x72","0xad","0x1","0x0","0x35","16","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x73","0xad","0xb","0x0","0x35","137","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x74","0xb5","0xb","0x0","0x35","64","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x75","0xae","0x2","0x0","0x35","69","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x76","0xab","0x1","0x0","0x35","196","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x77","0xaa","0x0","0x0","0x35","73","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x78","0xaa","0x0","0x0","0x35","16","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x79","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7a","0x2","0x7","0x0","0x50","12","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7b","0x2","0x7","0x0","0x50","203","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7c","0x2","0x7","0x0","0x50","140","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7d","0x2","0x7","0x0","0x50","205","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7e","0x2","0x7","0x0","0x50","14","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7f","0x2","0x7","0x0","0x50","77","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x80","0x2","0x7","0x0","0x50","140","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x81","0x2","0x7","0x0","0x50","75","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x82","0x2","0x7","0x0","0x50","10","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x83","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x84","0x5f","0x54","0x0","0x4d","205","0","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x0","0x3","0xc","0x0"
"0x85","0xad","0x55","0x0","0x45","140","0","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x86","0xad","0x55","0x0","0x45","142","0","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x87","0xb0","0x6","0x0","0x35","72","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x88","0xad","0xe","0x0","0x35","213","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x89","0xad","0xe","0x0","0x35","87","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x8a","0xac","0x2","0x0","0x35","147","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8b","0xac","0x2","0x0","0x35","208","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8c","0xac","0x2","0x0","0x35","13","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8d","0xac","0x2","0x0","0x35","22","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x8e","0xac","0x2","0x0","0x35","134","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x8f","0xac","0x2","0x0","0x35","71","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x90","0xb0","0x6","0x0","0x35","74","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x91","0xad","0x4","0x0","0x35","4","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x92","0xad","0x4","0x0","0x35","193","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x93","0xae","0x2","0x0","0x35","67","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x94","0xae","0x2","0x0","0x35","129","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x95","0xad","0x2","0x0","0x35","3","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xb7","0xf","0x0","0x35","23","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x97","0xb7","0xf","0x0","0x35","154","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x98","0xad","0x1","0x0","0x35","16","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x99","0xad","0xb","0x0","0x35","137","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9a","0xb5","0xb","0x0","0x35","64","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9b","0xae","0x2","0x0","0x35","69","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9c","0xab","0x1","0x0","0x35","196","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9d","0xaa","0x0","0x0","0x35","73","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9e","0xaa","0x0","0x0","0x35","16","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
