"0x8d1d10","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x24","0x7","0x0","0x68","75","3","0x0","0x0","0x0","0x11","0x17","0x76","0x0","0x0","0x0","0x0","0x0"
"0xe","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x27","0x23","0x0","0x68","75","3","0x0","0x0","0x0","0x17","0x1d","0x71","0x0","0x0","0x0","0x0","0x0"
"0x10","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x28","0x2b","0x0","0x80","75","3","0x0","0x0","0x0","0x43","0x42","0x75","0x0","0x0","0x0","0x0","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x2c","0x1d","0x0","0x50","75","3","0x0","0x0","0x0","0x4","0x2f","0x74","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x2a","0xb","0x0","0x58","75","3","0x0","0x0","0x0","0x4","0x17","0x21","0x88","0x0","0x0","0x0","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x2b","0x16","0x0","0x48","75","3","0x0","0x0","0x0","0xc","0xa1","0x88","0x0","0x0","0x0","0x0","0x0"
"0x18","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x26","0x2a","0x0","0x58","75","3","0x0","0x0","0x0","0x3b","0x3a","0x4d","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x23","0x4f","0x0","0x70","75","3","0x0","0x0","0x0","0x8f","0x4e","0x57","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0xbd","0x65","0xbe","0xa4","67","0","0x0","0x0","0x0","0x90","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x1e","0xab","0x53","0xbe","0xa4","129","0","0x0","0x0","0x0","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x1f","0xaf","0x57","0xbe","0xa4","1","0","0x0","0x0","0x0","0x31","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x20","0xae","0x56","0xbe","0xa4","66","0","0x0","0x0","0x0","0x11","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x21","0xb8","0x60","0xbe","0xa4","128","0","0x0","0x0","0x0","0xb4","0xac","0x0","0x0","0x0","0x3","0x4","0x0"
"0x22","0xb6","0x5e","0xbe","0xa4","0","0","0x0","0x0","0x0","0x25","0x34","0x0","0x0","0x0","0x0","0x4","0x0"
"0x23","0xb1","0x59","0xbe","0xa4","65","0","0x0","0x0","0x0","0xb0","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x24","0xae","0x56","0xbe","0xa4","130","0","0x0","0x0","0x0","0xd","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x25","0xb4","0x5c","0xbe","0xa4","2","0","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x26","0xbc","0x64","0xbe","0xa4","64","0","0x0","0x0","0x0","0x95","0x1c","0x0","0x0","0x0","0x0","0x4","0x0"
"0x27","0xb9","0x61","0xbe","0xa4","131","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x28","0xb2","0x5a","0xbe","0xa4","3","0","0x0","0x0","0x0","0x86","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
