"0x8c2c54","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x2e","0x8b","0x5","0x0","0x53","138","3","0x0","0x4","0x88c2b04","0x14","0x6c","0x0","0x0","0x3","0x3","0xb","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x80","0xf","0x0","0x55","206","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x31","0x80","0xf","0x0","0x55","209","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x32","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x33","0xe","0x1f","0x0","0x4c","149","36","0x0","0x0","0x0","0x14","0x1a","0x67","0x0","0x0","0x3","0x9","0x0"
"0x34","0x83","0x1f","0x0","0x45","149","4","0x0","0x1","0x88c2b24","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x83","0x1f","0x0","0x45","149","4","0x0","0x1","0x88c2b2c","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x36","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0x80","0x5","0x0","0x55","17","0","0x0","0x1","0x88c2b34","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x38","0x80","0x5","0x0","0x55","19","0","0x0","0x1","0x88c2b3c","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x39","0x80","0x5","0x0","0x55","18","0","0x0","0x1","0x88c2b44","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x80","0x5","0x0","0x55","18","0","0x0","0x1","0x88c2b4c","0x16","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3b","0x80","0x5","0x0","0x55","17","0","0x0","0x1","0x88c2b54","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3c","0x80","0x4b","0x0","0x4d","19","0","0x0","0x1","0x88c2b5c","0x4e","0x4c","0x0","0x0","0xe","0x0","0x9","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x80","0x5","0x0","0x55","19","0","0x0","0x1","0x88c2b64","0x14","0x1c","0x0","0x0","0x0","0x12","0x9","0x0"
"0x3f","0x80","0x5","0x0","0x55","17","0","0x0","0x1","0x88c2b6c","0x14","0x1c","0x0","0x0","0x0","0x12","0x9","0x0"
"0x40","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x1d","0x35","0x0","0x2b","75","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x42","0x80","0x5","0x0","0x2b","10","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x43","0x80","0x5","0x0","0x2b","9","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x44","0x80","0x5","0x0","0x2b","138","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x44","0x2a","0x0","0x30","77","3","0x0","0x1","0x88c2b74","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x48","0xe","0x1f","0x0","0x20","204","3","0x0","0x1","0x88c2b7c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x66","0x1f","0x0","0x20","11","4","0x0","0x1","0x88c2b84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x67","0x1f","0x0","0x20","13","4","0x0","0x1","0x88c2b8c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0xf","0x1","0x0","0x50","17","0","0x0","0x2","0x88c2b94","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0x2","0x7","0x0","0x50","17","0","0x0","0x2","0x88c2ba4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0x2","0x7","0x0","0x50","18","0","0x0","0x1","0x88c2bb4","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x50","0x22","0x48","0x0","0x50","19","0","0x0","0x1","0x88c2bbc","0x16","0x1c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x51","0x2","0x7","0x0","0x50","19","0","0x0","0x1","0x88c2bc4","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x52","0x2","0x7","0x0","0x50","17","0","0x0","0x1","0x88c2bcc","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x53","0x2","0x7","0x0","0x50","19","0","0x0","0x1","0x88c2bd4","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x54","0x2","0x7","0x0","0x50","18","0","0x0","0x1","0x88c2bdc","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x55","0x2","0x7","0x0","0x50","17","0","0x0","0x1","0x88c2be4","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x56","0x2","0x7","0x0","0x50","19","0","0x0","0x1","0x88c2bec","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x57","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0x43","0x23","0x0","0x45","214","2","0x0","0x1","0x88c2bf4","0x0","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x59","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0x44","0x50","0x0","0x5d","212","2","0x0","0x1","0x88c2bfc","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x43","0x23","0x0","0x25","82","3","0x0","0x1","0x88c2c04","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x5d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5e","0xf","0x1","0x0","0x50","5","4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x2","0x7","0x0","0x50","6","4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x60","0x19","0x4b","0x0","0x53","73","2","0x0","0x3","0x88c2c0c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x61","0x1a","0x43","0x0","0x53","9","2","0x0","0x2","0x88c2c24","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0x1c","0x33","0x0","0x53","201","1","0x0","0x2","0x88c2c34","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x63","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x64","0xc0","0x50","0x0","0x50","128","4","0x0","0x2","0x88c2c44","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x65","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x66","0x2","0x7","0x0","0x50","136","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x67","0x2","0x7","0x0","0x50","73","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x68","0x2","0x7","0x0","0x50","201","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x69","0x2","0x7","0x0","0x50","199","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x2","0x7","0x0","0x50","71","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6b","0x2","0x7","0x0","0x50","8","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x2","0x7","0x0","0x50","73","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6d","0x2","0x7","0x0","0x50","10","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x2","0x7","0x0","0x50","138","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0x5f","0x5b","0x0","0x75","83","0","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x71","0xb3","0x5b","0x0","0x6d","18","0","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x72","0xb3","0x5b","0x0","0x6d","20","0","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x73","0xac","0x2","0x0","0x55","199","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x74","0xac","0x2","0x0","0x55","8","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x75","0xad","0x4","0x0","0x55","201","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x76","0xac","0x2","0x0","0x55","79","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x77","0xac","0x2","0x0","0x55","208","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x78","0xb0","0x6","0x0","0x55","197","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x79","0xac","0x2","0x0","0x55","78","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7a","0xac","0x2","0x0","0x55","13","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7b","0xac","0x2","0x0","0x55","19","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7c","0xbb","0x14","0x0","0x55","149","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7d","0xb0","0x6","0x0","0x55","68","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7e","0xac","0x2","0x0","0x55","210","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7f","0xbb","0x14","0x0","0x55","212","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x80","0xbb","0x14","0x0","0x55","22","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x81","0xbb","0x14","0x0","0x55","150","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x82","0xbb","0x14","0x0","0x55","85","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x83","0xb3","0x9","0x0","0x55","3","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x84","0xad","0x4","0x0","0x55","144","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x85","0xab","0x1","0x0","0x55","146","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x86","0xab","0x1","0x0","0x55","7","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x87","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0x2","0x7","0x0","0x50","136","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x89","0x2","0x7","0x0","0x50","73","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x2","0x7","0x0","0x50","201","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x2","0x7","0x0","0x50","199","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x2","0x7","0x0","0x50","71","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8d","0x2","0x7","0x0","0x50","8","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x2","0x7","0x0","0x50","73","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8f","0x2","0x7","0x0","0x50","10","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x90","0x2","0x7","0x0","0x50","138","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x5f","0x5d","0x0","0x75","146","0","0x0","0x0","0x0","0x28","0x20","0x0","0x0","0x3","0x3","0xc","0x0"
"0x93","0xb5","0x5d","0x0","0x6d","81","0","0x0","0x0","0x0","0x28","0x1f","0x0","0x0","0x0","0x3","0xc","0x0"
"0x94","0xb5","0x5d","0x0","0x6d","83","0","0x0","0x0","0x0","0x2a","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x95","0xac","0x2","0x0","0x55","199","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xac","0x2","0x0","0x55","8","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x97","0xad","0x4","0x0","0x55","201","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x98","0xac","0x2","0x0","0x55","79","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x99","0xac","0x2","0x0","0x55","208","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9a","0xb0","0x6","0x0","0x55","197","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9b","0xac","0x2","0x0","0x55","78","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9c","0xac","0x2","0x0","0x55","13","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9d","0xac","0x2","0x0","0x55","19","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9e","0xbb","0x14","0x0","0x55","149","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9f","0xb0","0x6","0x0","0x55","68","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa0","0xac","0x2","0x0","0x55","210","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa1","0xbb","0x14","0x0","0x55","212","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa2","0xbb","0x14","0x0","0x55","22","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa3","0xbb","0x14","0x0","0x55","150","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa4","0xbb","0x14","0x0","0x55","85","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa5","0xb3","0x9","0x0","0x55","3","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa6","0xad","0x4","0x0","0x55","144","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa7","0xab","0x1","0x0","0x55","146","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa8","0xab","0x1","0x0","0x55","7","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x2","0x7","0x0","0x50","136","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xab","0x2","0x7","0x0","0x50","73","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xac","0x2","0x7","0x0","0x50","201","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xad","0x2","0x7","0x0","0x50","199","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xae","0x2","0x7","0x0","0x50","71","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x2","0x7","0x0","0x50","8","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x2","0x7","0x0","0x50","73","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x2","0x7","0x0","0x50","10","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x2","0x7","0x0","0x50","138","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb4","0x5f","0x58","0x0","0x75","83","0","0x0","0x0","0x0","0x8b","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb5","0xb0","0x58","0x0","0x6d","18","0","0x0","0x0","0x0","0xaf","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb6","0xb0","0x58","0x0","0x6d","20","0","0x0","0x0","0x0","0xaf","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb7","0xac","0x2","0x0","0x55","199","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb8","0xac","0x2","0x0","0x55","8","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb9","0xad","0x4","0x0","0x55","201","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xba","0xac","0x2","0x0","0x55","79","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbb","0xac","0x2","0x0","0x55","208","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xbc","0xb0","0x6","0x0","0x55","197","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
