"0x8ba948","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x5a","0x2","0x7","0x0","0x50","69","2","0x0","0x1","0x88ba908","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0xc8","0x7","0x0","0x13","20","0","0x0","0x1","0x88ba910","0x17","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5d","0xcd","0x5","0x0","0x13","19","0","0x0","0x1","0x88ba918","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5e","0xcd","0x5","0x0","0x13","19","0","0x0","0x1","0x88ba920","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5f","0xcd","0x5","0x0","0x13","21","0","0x0","0x1","0x88ba928","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x60","0xcd","0x5","0x0","0x13","22","0","0x0","0x1","0x88ba930","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x61","0xcd","0x1d","0x0","0xb","19","0","0x0","0x1","0x88ba938","0x2d","0x0","0x0","0x0","0x0","0xf","0x9","0x0"
"0x62","0xcd","0x1d","0x0","0xb","21","0","0x0","0x1","0x88ba940","0x2d","0x0","0x0","0x0","0x0","0xf","0x9","0x0"
"0x63","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x64","0x2","0x7","0x1","0x50","130","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x65","0x2","0x7","0x1","0x50","195","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x66","0x2","0x7","0x1","0x50","132","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x67","0x2","0x7","0x1","0x50","193","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x68","0x2","0x7","0x1","0x50","2","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x69","0x2","0x7","0x1","0x50","4","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x2","0x7","0x1","0x50","197","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6b","0x2","0x7","0x1","0x50","67","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x2","0x7","0x1","0x50","67","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x5f","0x5e","0x0","0x2d","86","0","0x0","0x0","0x0","0x2b","0x2e","0x0","0x0","0x3","0x3","0xc","0x0"
"0x6f","0xb6","0x5e","0x0","0x25","84","0","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x70","0xb6","0x5e","0x0","0x25","214","0","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x71","0xb3","0x9","0x0","0x65","141","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x72","0xb5","0xb","0x0","0x65","139","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x73","0xb5","0xb","0x0","0x65","13","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x74","0xb5","0xb","0x0","0x65","206","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x75","0xb3","0x9","0x0","0x65","14","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x76","0xb3","0x9","0x0","0x65","148","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x77","0xb3","0x9","0x0","0x65","20","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x78","0xb5","0xb","0x0","0x65","18","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x79","0xb5","0xb","0x0","0x65","20","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7a","0xb5","0xb","0x0","0x65","86","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7b","0xb5","0xb","0x0","0x65","214","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7c","0xb5","0xb","0x0","0x65","212","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x7d","0xb5","0xb","0x0","0x65","21","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7e","0xb5","0xb","0x0","0x65","71","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7f","0xb5","0xb","0x0","0x65","204","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x80","0xb0","0x6","0x0","0x65","137","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x81","0xb0","0x6","0x0","0x65","73","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x82","0xb0","0x6","0x0","0x65","17","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x83","0xb0","0x6","0x0","0x65","145","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x84","0xab","0x1","0x0","0x65","209","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x85","0xac","0x2","0x0","0x65","132","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x86","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x87","0x2","0x7","0x1","0x50","130","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x88","0x2","0x7","0x1","0x50","195","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x89","0x2","0x7","0x1","0x50","132","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x2","0x7","0x1","0x50","193","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x2","0x7","0x1","0x50","2","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x2","0x7","0x1","0x50","4","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8d","0x2","0x7","0x1","0x50","197","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x2","0x7","0x1","0x50","67","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8f","0x2","0x7","0x1","0x50","67","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x90","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x91","0x5f","0x56","0x0","0x2d","86","0","0x0","0x0","0x0","0x13","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x92","0xaf","0x57","0x0","0x25","84","0","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x93","0xae","0x56","0x0","0x25","214","0","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x0","0x3","0xc","0x0"
"0x94","0xb3","0x9","0x0","0x65","141","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x95","0xb5","0xb","0x0","0x65","139","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xb5","0xb","0x0","0x65","13","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x97","0xb5","0xb","0x0","0x65","206","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x98","0xb3","0x9","0x0","0x65","14","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x99","0xb3","0x9","0x0","0x65","148","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9a","0xb3","0x9","0x0","0x65","20","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9b","0xb5","0xb","0x0","0x65","18","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9c","0xb5","0xb","0x0","0x65","20","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9d","0xb5","0xb","0x0","0x65","86","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9e","0xb5","0xb","0x0","0x65","214","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9f","0xb5","0xb","0x0","0x65","212","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa0","0xb5","0xb","0x0","0x65","21","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa1","0xb5","0xb","0x0","0x65","71","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa2","0xb5","0xb","0x0","0x65","204","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa3","0xb0","0x6","0x0","0x65","137","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa4","0xb0","0x6","0x0","0x65","73","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa5","0xb0","0x6","0x0","0x65","17","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa6","0xb0","0x6","0x0","0x65","145","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa7","0xab","0x1","0x0","0x65","209","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa8","0xac","0x2","0x0","0x65","132","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x2","0x7","0x1","0x50","130","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xab","0x2","0x7","0x1","0x50","195","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xac","0x2","0x7","0x1","0x50","132","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xad","0x2","0x7","0x1","0x50","193","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xae","0x2","0x7","0x1","0x50","2","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x2","0x7","0x1","0x50","4","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x2","0x7","0x1","0x50","197","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x2","0x7","0x1","0x50","67","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x2","0x7","0x1","0x50","67","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb4","0x5f","0x5c","0x0","0x2d","86","0","0x0","0x0","0x0","0xb2","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb5","0xb4","0x5c","0x0","0x25","84","0","0x0","0x0","0x0","0xb2","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb6","0xb4","0x5c","0x0","0x25","214","0","0x0","0x0","0x0","0xb2","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb7","0xb3","0x9","0x0","0x65","141","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xb8","0xb5","0xb","0x0","0x65","139","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb9","0xb5","0xb","0x0","0x65","13","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xba","0xb5","0xb","0x0","0x65","206","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbb","0xb3","0x9","0x0","0x65","14","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xbc","0xb3","0x9","0x0","0x65","148","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
