"0x8c7648","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x16","0x8f","0x2f","0x0","0x2d","211","2","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x17","0x8f","0x2f","0x0","0x2d","146","2","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x18","0x8f","0x2f","0x0","0x2d","148","2","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x19","0x90","0x2d","0x0","0x75","7","2","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x90","0x44","0x0","0x75","78","4","0x0","0x0","0x0","0x3f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x90","0x44","0x0","0x75","79","4","0x0","0x0","0x0","0x3f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x90","0x3f","0x0","0x65","140","3","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x3","0x3","0x2","0x0"
"0x1d","0x90","0x3f","0x0","0x65","203","3","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x3","0x3","0x2","0x0"
"0x1e","0x90","0x2d","0x0","0x75","6","2","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1f","0x8d","0x9","0x0","0x65","193","33","0x0","0x0","0x0","0x14","0x6a","0x0","0x0","0x3","0x3","0x2","0x20"
"0x20","0x8d","0x9","0x0","0x65","194","3","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x3","0x3","0x2","0x0"
"0x21","0x8d","0x25","0x0","0x75","147","4","0x0","0x0","0x0","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x22","0x8d","0x25","0x0","0x75","148","4","0x0","0x0","0x0","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x23","0x8d","0x44","0x0","0x75","199","0","0x0","0x0","0x0","0x3f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x24","0x8d","0x44","0x0","0x75","198","0","0x0","0x0","0x0","0x3f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x25","0x8d","0x45","0x0","0x65","202","0","0x0","0x0","0x0","0x4e","0x4c","0x6c","0x0","0xf","0x3","0x2","0x0"
"0x26","0x8d","0x45","0x0","0x65","208","32","0x0","0x0","0x0","0x4e","0x0","0x0","0x0","0xf","0x3","0x2","0x0"
"0x27","0x8d","0x9","0x0","0x65","201","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x3","0x3","0x2","0x0"
"0x28","0x8d","0x9","0x0","0x65","137","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x3","0x3","0x2","0x0"
"0x29","0x8d","0x9","0x0","0x65","132","32","0x0","0x0","0x0","0x14","0x6a","0x0","0x0","0x3","0x3","0x2","0x20"
"0x2a","0x8d","0x2d","0x0","0x75","132","33","0x0","0x0","0x0","0x46","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0x8d","0x13","0x0","0x75","203","6","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2c","0x8d","0x13","0x0","0x75","140","6","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0x8d","0x3f","0x0","0x75","143","6","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0x8d","0x3f","0x0","0x75","79","6","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0x8d","0x4e","0x0","0x75","192","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0x8d","0x4e","0x0","0x75","0","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x31","0x8d","0x45","0x0","0x75","4","2","0x0","0x0","0x0","0x53","0x4c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x32","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x33","0x8d","0x5","0x0","0x7d","192","6","0x0","0x1","0x88c75f8","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x34","0x8d","0x5","0x0","0x7d","192","6","0x0","0x1","0x88c7600","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0x8d","0x5","0x0","0x7d","192","6","0x0","0x1","0x88c7608","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x38","0x8d","0x5","0x0","0x7d","192","6","0x0","0x1","0x88c7610","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x39","0x8d","0x5","0x0","0x7d","192","6","0x0","0x1","0x88c7618","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x8d","0x5","0x0","0x7d","192","6","0x0","0x1","0x88c7620","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3b","0x8d","0x35","0x0","0x25","192","6","0x0","0x0","0x0","0x20","0x76","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3d","0x8f","0x27","0x0","0x2d","149","2","0x0","0x0","0x0","0x3a","0x52","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3e","0x8f","0x27","0x0","0x2d","213","34","0x0","0x0","0x0","0x41","0x42","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x8d","0x1d","0x0","0x1d","206","6","0x0","0x1","0x88c7628","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x8d","0x1d","0x0","0x1d","208","6","0x0","0x1","0x88c7630","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x42","0x8d","0x4c","0x0","0x1d","206","6","0x0","0x1","0x88c7638","0x41","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0x8d","0x1d","0x0","0x1d","208","6","0x0","0x1","0x88c7640","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x44","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x45","0x64","0xd","0x0","0x95","76","5","0x0","0x0","0x0","0x1","0x6b","0x0","0x0","0x6","0x5","0x9","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x64","0xd","0x0","0x95","85","3","0x0","0x0","0x0","0x1","0x6b","0x0","0x0","0x6","0x5","0x9","0x0"
"0x48","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x8f","0x15","0x0","0x2d","12","1","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4a","0x8f","0x15","0x0","0x2d","14","1","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4b","0x8f","0x9","0x0","0x45","204","1","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x2","0x0"
"0x4c","0x8f","0x9","0x0","0x45","206","1","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x2","0x0"
"0x4d","0x8d","0x2d","0x0","0x75","147","0","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
