"0x8cec84","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x19","0xb9","0x17","0x0","0x9d","133","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1A","0xb9","0x17","0x0","0x9d","148","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1B","0xb9","0x17","0x0","0x9d","131","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1C","0xb9","0x17","0x0","0x9d","138","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1D","0xb9","0x17","0x0","0x9d","143","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1E","0xb9","0x17","0x0","0x9d","210","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1F","0xb9","0x17","0x0","0x9d","22","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x20","0xb9","0x17","0x0","0x9d","209","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x21","0xb8","0x10","0x0","0x9d","21","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x22","0xb8","0x10","0x0","0x9d","204","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x23","0xb8","0x10","0x0","0x9d","135","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x24","0xb8","0x10","0x0","0x9d","131","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x25","0xb9","0x61","0x0","0x9d","198","2","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x3","0x3","0xc","0x0"
"0x26","0xb8","0x10","0x0","0x9d","23","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x27","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x29","0xb8","0x10","0x0","0x9d","5","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x2A","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2B","0xb8","0x10","0x0","0x9d","14","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x2C","0xb8","0x10","0x0","0x9d","128","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x2D","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2E","0xb8","0x10","0x0","0x9d","152","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x2F","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0xb8","0x10","0x0","0x9d","195","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x31","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x32","0xb8","0x10","0x0","0x9d","128","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0xb8","0x10","0x0","0x9d","152","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0xb8","0x10","0x0","0x9d","86","22","0x0","0x1","0x88cec7c","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0xb8","0x10","0x0","0x9d","150","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x39","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3A Ruins 8","0x2","0x7","0x0","0x50","194","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3B","0x2","0x7","0x0","0x50","192","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3C","0x2","0x7","0x0","0x50","2","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3D","0x2","0x7","0x0","0x50","1","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3E","0x2","0x7","0x0","0x50","131","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3F","0x2","0x7","0x0","0x50","3","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x40","0x2","0x7","0x0","0x50","196","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x41","0x2","0x7","0x0","0x50","129","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x42","0x2","0x7","0x0","0x50","130","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x43","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0x5f","0x64","0x0","0xa5","81","0","0x0","0x0","0x0","0x19","0x1c","0x0","0x0","0x3","0x3","0xc","0x0"
"0x45","0xbd","0x64","0x0","0xa5","146","0","0x0","0x0","0x0","0x1e","0x1c","0x0","0x0","0x3","0x3","0xc","0x0"
"0x46","0xbd","0x64","0x0","0xa5","144","0","0x0","0x0","0x0","0x1b","0x1c","0x0","0x0","0x3","0x3","0xc","0x0"
"0x47","0xb8","0x60","0x0","0xa5","15","4","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x48","0xb8","0x60","0x0","0xa5","17","4","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x49","0xb2","0x5a","0x0","0xa5","3","0","0x0","0x0","0x0","0x29","0x28","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4A","0xb2","0x5a","0x0","0xa5","2","0","0x0","0x0","0x0","0x2a","0x28","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4B","0xb2","0x5a","0x0","0xa5","17","34","0x0","0x0","0x0","0x27","0x6a","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4C","0xb8","0x12","0x0","0xa5","194","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4D","0xb8","0x12","0x0","0xa5","9","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4E","0xb8","0x12","0x0","0xa5","144","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x4F","0xbc","0x16","0x0","0xa5","145","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x50","0xbc","0x16","0x0","0xa5","137","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x51","0xbc","0x16","0x0","0xa5","138","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x52","0xbc","0x16","0x0","0xa5","9","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x53","0xbc","0x16","0x0","0xa5","74","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x54","0xbc","0x16","0x0","0xa5","77","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x55","0xbc","0x16","0x0","0xa5","71","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x56","0xbc","0x16","0x0","0xa5","66","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x57","0xbc","0x16","0x0","0xa5","67","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x58","0xb8","0x12","0x0","0xa5","17","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x59","0xb8","0x12","0x0","0xa5","79","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5A","0xb8","0x12","0x0","0xa5","15","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5B","0xb8","0x12","0x0","0xa5","147","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5C","0xb8","0x12","0x0","0xa5","134","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5D","0xb6","0xc","0x0","0xa5","144","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5E","0xb6","0xc","0x0","0xa5","145","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5F","0xb6","0xc","0x0","0xa5","9","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x60","0xb6","0xc","0x0","0xa5","10","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x61","0xb2","0x8","0x0","0xa5","201","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x62","0xb2","0x8","0x0","0xa5","202","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x63","0xbc","0x16","0x0","0xa5","131","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x64","0xbc","0x16","0x0","0xa5","130","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x65","0xbc","0x16","0x0","0xa5","64","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x66","0xbc","0x16","0x0","0xa5","64","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x67","0xbc","0x16","0x0","0xa5","205","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x68","0xbc","0x16","0x0","0xa5","12","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x69","0xbc","0x16","0x0","0xa5","73","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6A","0xbc","0x16","0x0","0xa5","74","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x6B","0xb2","0x8","0x0","0xa5","68","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x6C","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6D","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6E","0xb2","0x8","0x0","0xa5","10","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x6F","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0xb6","0xc","0x0","0xa5","16","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x71","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x72","0xb2","0x8","0x0","0xa5","147","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x73","0xb2","0x8","0x0","0xa5","211","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x74","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x75","0xb6","0xc","0x0","0xa5","147","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x76","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x77 Ruins 9","0x2","0x7","0x0","0x50","1","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x78","0x2","0x7","0x0","0x50","194","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x79","0x2","0x7","0x0","0x50","64","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7A","0x2","0x7","0x0","0x50","131","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7B","0x2","0x7","0x0","0x50","66","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7C","0x2","0x7","0x0","0x50","128","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7D","0x2","0x7","0x0","0x50","129","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7E","0x2","0x7","0x0","0x50","192","4","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7F","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x5f","0x5a","0x0","0xa5","65","0","0x0","0x0","0x0","0x29","0x23","0x0","0x0","0x3","0x3","0xc","0x0"
"0x81","0xb8","0x60","0x0","0xa5","78","2","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x82","0xb8","0x60","0x0","0xa5","75","2","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x83","0xb8","0x60","0x0","0xa5","192","2","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x84","0xb8","0x60","0x0","0xa5","15","5","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x85","0xb8","0x60","0x0","0xa5","1","1","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x86","0xb8","0x60","0x0","0xa5","3","1","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x87","0xb6","0x5e","0x0","0xa5","197","1","0x0","0x0","0x0","0x32","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x88","0xb6","0x5e","0x0","0xa5","208","3","0x0","0x0","0x0","0x2e","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x89","0xb2","0x8","0x0","0xa5","137","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8A","0xb2","0x8","0x0","0xa5","7","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8B","0xb2","0x8","0x0","0xa5","130","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8C","0xb2","0x8","0x0","0xa5","128","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8D","0xbd","0x8","0x0","0xa5","203","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8E","0xbd","0x8","0x0","0xa5","142","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8F","0xbd","0x8","0x0","0xa5","80","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x90","0xbd","0x8","0x0","0xa5","76","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x91","0xbd","0x8","0x0","0xa5","134","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x92","0xae","0x3","0x0","0xa5","70","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x93","0xae","0x3","0x0","0xa5","69","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x94","0xae","0x3","0x0","0xa5","138","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x95","0xae","0x3","0x0","0xa5","207","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xaf","0x5","0x0","0xa5","70","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x97","0xae","0x3","0x0","0xa5","72","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x98","0xae","0x3","0x0","0xa5","198","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x99","0xaf","0x5","0x0","0xa5","207","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9A","0xae","0x3","0x0","0xa5","205","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9B","0xaf","0x5","0x0","0xa5","78","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9C","0xae","0x3","0x0","0xa5","77","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9D","0xae","0x3","0x0","0xa5","81","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9E","0xae","0x3","0x0","0xa5","12","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9F","0xaf","0x5","0x0","0xa5","145","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xA0","0xaf","0x5","0x0","0xa5","81","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xA1","0xae","0x3","0x0","0xa5","145","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xA2","0xaf","0x5","0x0","0xa5","198","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA3","0xae","0x3","0x0","0xa5","71","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA4","0xae","0x3","0x0","0xa5","194","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA5","0xae","0x3","0x0","0xa5","139","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA6","0xaf","0x5","0x0","0xa5","79","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA7","0xae","0x3","0x0","0xa5","81","85","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA8","0xae","0x3","0x0","0xa5","141","85","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xA9","0xae","0x3","0x0","0xa5","129","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xAA","0xae","0x3","0x0","0xa5","77","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xAB","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xAC","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xAD","0xb2","0x8","0x0","0xa5","0","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xAE","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xAF Ruins 10","0x2","0x7","0x0","0x50","202","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB0","0x2","0x7","0x0","0x50","7","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB1","0x2","0x7","0x0","0x50","139","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB2","0x2","0x7","0x0","0x50","73","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB3","0x2","0x7","0x0","0x50","11","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB4","0x2","0x7","0x0","0x50","200","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB5","0x2","0x7","0x0","0x50","73","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB6","0x2","0x7","0x0","0x50","135","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xB7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xB8","0x5f","0x65","0x0","0xa5","201","32","0x0","0x0","0x0","0x90","0xbb","0x0","0x0","0x3","0x3","0xc","0x0"
"0xB9","0xbd","0x65","0x0","0xa5","70","1","0x0","0x0","0x0","0x90","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xBA","0xbd","0x18","0x0","0xa5","137","20","0x0","0x0","0x0","0x90","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xBB","0xbd","0x18","0x0","0xa5","13","84","0x0","0x0","0x0","0x90","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xBC","0xbd","0x65","0x0","0xa5","76","1","0x0","0x0","0x0","0x90","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
