"0x8c3e50","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x2a","0xb0","0x55","0x0","0x4d","206","1","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2b","0xb0","0x54","0x0","0x55","14","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2c","0xb0","0x54","0x0","0x4d","77","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2d","0xb0","0x54","0x0","0x4d","205","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2e","0xb0","0x53","0x0","0x1d","78","1","0x0","0x0","0x0","0xae","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2f","0xb0","0x54","0x0","0x4d","12","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0xac","0x54","0x0","0x55","141","1","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0xb","0xc","0x0"
"0x32","0xac","0x54","0x0","0x55","77","3","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0xb","0xc","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x5e","0x64","0x0","0x44","64","34","0x0","0x0","0x0","0x96","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x35","0xbb","0x63","0x0","0x4d","0","2","0x0","0x1","0x88c3dc8","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x36","0xbb","0x63","0x0","0x4d","128","2","0x0","0x1","0x88c3dd0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x1e","0x3c","0x0","0x8","5","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x39","0xf","0x1","0x0","0x8","4","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3b","0x1e","0x3c","0x0","0x8","5","1","0x0","0x2","0x88c3dd8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x2","0x7","0x0","0x8","132","2","0x0","0x1","0x88c3de8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0xbb","0x63","0x0","0x4d","128","1","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x3f","0xbb","0x63","0x0","0x4d","0","3","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x40","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0xb7","0x5f","0x0","0x4d","14","0","0x0","0x1","0x88c3df0","0xb3","0x0","0x0","0x0","0x0","0xb","0xc","0x0"
"0x42","0xb7","0x5f","0x0","0x4d","12","0","0x0","0x1","0x88c3df8","0xb3","0x0","0x0","0x0","0x0","0xb","0xc","0x0"
"0x43","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0xb7","0x5f","0x0","0x4d","139","4","0x0","0x1","0x88c3e00","0xb3","0x0","0x0","0x0","0x0","0xb","0xc","0x0"
"0x45","0xb7","0x5f","0x0","0x4d","141","4","0x0","0x1","0x88c3e08","0xb3","0x0","0x0","0x0","0x0","0xb","0xc","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x48","0xb9","0x63","0x0","0xc","20","0","0x0","0x1","0x88c3e10","0x14","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x49","0xb9","0x63","0x0","0xc","20","0","0x0","0x1","0x88c3e18","0x14","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x4a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4b","0xb9","0x5f","0x0","0xc","148","4","0x0","0x1","0x88c3e20","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x4c","0xba","0x5f","0x0","0xc","148","4","0x0","0x1","0x88c3e28","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x4d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x50","0xb9","0x5f","0x0","0x4d","0","0","0x0","0x1","0x88c3e30","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x51","0xb9","0x5f","0x0","0x4d","0","0","0x0","0x1","0x88c3e38","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x52","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0xb9","0x5f","0x0","0x4d","128","4","0x0","0x1","0x88c3e40","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x54","0xb9","0x5f","0x0","0x4d","128","4","0x0","0x1","0x88c3e48","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x55","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x56","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x6b","0xb","0x6b","0xd","142","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0x40","0x4f","0x6b","0xd","207","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x59","0x80","0x9","0x6b","0xd","11","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0x80","0x9","0x6b","0xd","17","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x80","0x9","0x6b","0xd","75","2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x80","0x9","0x6b","0xd","81","2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
