"0x8c8ad8","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x33","0xb","0x1b","0x1","0x38","146","2","0x0","0x1","0x88c8a70","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x1e","0x3c","0x1","0x38","147","2","0x0","0x3","0x88c8a78","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x35","0x19","0x4b","0x1","0x38","146","2","0x0","0x1","0x88c8a90","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0xba","0x62","0x56","0x1d","205","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x38","0xba","0x62","0x56","0x1d","77","1","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x39","0xba","0x62","0x56","0x1d","68","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x3a","0xba","0x62","0x56","0x15","148","6","0x0","0x0","0x0","0xab","0xb5","0xac","0x0","0x3","0x3","0x4","0x0"
"0x3b","0xba","0x62","0x56","0x1d","200","1","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x3c","0xba","0x62","0x56","0x25","85","1","0x0","0x0","0x0","0xab","0xb5","0xac","0x0","0x3","0x3","0x4","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0xb0","0x58","0x56","0x85","213","6","0x0","0x1","0x88c8a98","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x3f","0xb0","0x58","0x56","0x85","213","6","0x0","0x1","0x88c8aa0","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x40","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0xb0","0x58","0x56","0x85","86","4","0x0","0x0","0x0","0xaf","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x42","0xb0","0x58","0x56","0x85","22","4","0x0","0x0","0x0","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x43","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0xb0","0x58","0x56","0x85","14","0","0x0","0x1","0x88c8aa8","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x45","0xb0","0x58","0x56","0x85","14","0","0x0","0x1","0x88c8ab0","0xaf","0x0","0x0","0x0","0x0","0x12","0x4","0x0"
"0x46","0xb0","0x58","0x56","0x85","14","0","0x0","0x1","0x88c8ab8","0x8b","0x0","0x0","0x0","0x0","0x12","0x4","0x0"
"0x47","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x48","0xbb","0x63","0x56","0x8d","214","0","0x0","0x0","0x0","0x1b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x49","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0xb0","0x58","0x56","0x85","14","0","0x0","0x1","0x88c8ac0","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x4b","0xb0","0x58","0x56","0x85","14","0","0x0","0x1","0x88c8ac8","0x8b","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x4c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0xbb","0x63","0x56","0x8d","4","0","0x0","0x1","0x88c8ad0","0x95","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x4e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0x2","0x7","0x0","0x50","195","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x50","0x2","0x7","0x0","0x50","130","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x51","0x2","0x7","0x0","0x50","2","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x52","0x2","0x7","0x0","0x50","193","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x53","0x2","0x7","0x0","0x50","65","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x54","0x2","0x7","0x0","0x50","132","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x55","0x2","0x7","0x0","0x50","67","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x56","0x2","0x7","0x0","0x50","0","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x57","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0x5f","0x61","0x0","0x4d","205","0","0x0","0x0","0x0","0xab","0xb5","0xac","0x0","0x3","0x3","0xc","0x0"
"0x59","0xb9","0x17","0x0","0x3d","12","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5a","0xb9","0x17","0x0","0x3d","14","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5b","0xb9","0x17","0x0","0x3d","148","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5c","0xb9","0x17","0x0","0x3d","21","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5d","0xb3","0x9","0x0","0x8d","136","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x5e","0xb3","0x9","0x0","0x8d","74","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x5f","0xb3","0x9","0x0","0x8d","142","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x60","0xb3","0x9","0x0","0x8d","80","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x61","0xb3","0x9","0x0","0x8d","211","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x62","0xb3","0x9","0x0","0x8d","148","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x63","0xb3","0x9","0x0","0x8d","9","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x64","0xb3","0x9","0x0","0x8d","208","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x65","0xb3","0x9","0x0","0x8d","22","21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x66","0xb7","0xf","0x0","0x8d","22","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x67","0xb7","0xf","0x0","0x8d","135","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x68","0xb7","0xf","0x0","0x8d","135","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x69","0xb7","0xf","0x0","0x8d","72","16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6a","0xad","0x4","0x0","0x8d","10","20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x6b","0xad","0x4","0x0","0x8d","71","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6c","0xab","0x1","0x0","0x8d","22","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6d","0xac","0x2","0x0","0x8d","72","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6e","0xac","0x2","0x0","0x8d","19","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x6f","0xad","0x4","0x0","0x8d","82","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x70","0xac","0x2","0x0","0x8d","146","18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x71","0xad","0x4","0x0","0x8d","77","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x72","0xac","0x3","0x0","0x8d","142","19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x73","0xba","0x62","0x0","0x45","77","1","0x0","0x0","0x0","0xac","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0x74","0xba","0x62","0x0","0x3d","7","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0x75","0xba","0x62","0x0","0x3d","86","1","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0x76","0xba","0x62","0x0","0x3d","213","3","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0x77","0xba","0x62","0x0","0x35","71","3","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x78","0xba","0x62","0x0","0x3d","68","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0x79","0xba","0x62","0x0","0x35","72","4","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7a","0xba","0x62","0x0","0x35","147","6","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7b","0xba","0x62","0x0","0x35","6","2","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7c","0xba","0x62","0x0","0x35","10","0","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7e","0x2","0x7","0x0","0x50","195","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7f","0x2","0x7","0x0","0x50","130","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x80","0x2","0x7","0x0","0x50","2","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x81","0x2","0x7","0x0","0x50","193","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x82","0x2","0x7","0x0","0x50","65","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x83","0x2","0x7","0x0","0x50","132","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x84","0x2","0x7","0x0","0x50","67","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x85","0x2","0x7","0x0","0x50","0","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x86","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x87","0x5f","0x64","0x0","0x4d","205","0","0x0","0x0","0x0","0x1d","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x88","0xbc","0x64","0x0","0x3d","12","1","0x0","0x0","0x0","0x1b","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x89","0xbc","0x64","0x0","0x3d","14","1","0x0","0x0","0x0","0x18","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8a","0xb9","0x17","0x0","0x3d","148","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8b","0xb9","0x17","0x0","0x3d","21","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8c","0xb3","0x9","0x0","0x8d","136","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x8d","0xb3","0x9","0x0","0x8d","74","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8e","0xb3","0x9","0x0","0x8d","142","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x8f","0xb3","0x9","0x0","0x8d","80","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x90","0xb3","0x9","0x0","0x8d","211","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x91","0xb3","0x9","0x0","0x8d","148","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x92","0xb3","0x9","0x0","0x8d","9","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x93","0xb3","0x9","0x0","0x8d","208","85","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x94","0xb3","0x9","0x0","0x8d","22","85","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x95","0xb7","0xf","0x0","0x8d","22","86","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xb7","0xf","0x0","0x8d","135","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x97","0xb7","0xf","0x0","0x8d","135","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x98","0xb7","0xf","0x0","0x8d","72","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x99","0xad","0x4","0x0","0x8d","10","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9a","0xad","0x4","0x0","0x8d","71","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9b","0xab","0x1","0x0","0x8d","22","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9c","0xac","0x2","0x0","0x8d","72","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9d","0xac","0x2","0x0","0x8d","19","86","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9e","0xad","0x4","0x0","0x8d","82","86","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9f","0xac","0x2","0x0","0x8d","146","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa0","0xad","0x4","0x0","0x8d","77","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa1","0xac","0x3","0x0","0x8d","142","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa2","0xba","0x62","0x0","0x45","77","1","0x0","0x0","0x0","0xac","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa3","0xba","0x62","0x0","0x3d","73","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa4","0xba","0x62","0x0","0x35","73","4","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa5","0xba","0x62","0x0","0x3d","140","4","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa6","0xba","0x62","0x0","0x3d","19","4","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa7","0xba","0x62","0x0","0x3d","84","6","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa8","0xba","0x62","0x0","0x3d","200","1","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa9","0xba","0x62","0x0","0x3d","85","1","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xaa","0xba","0x62","0x0","0x3d","72","4","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xab","0xba","0x62","0x0","0x35","10","0","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xac","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xad","0x2","0x7","0x0","0x50","195","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xae","0x2","0x7","0x0","0x50","130","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x2","0x7","0x0","0x50","2","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x2","0x7","0x0","0x50","193","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x2","0x7","0x0","0x50","65","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x2","0x7","0x0","0x50","132","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x2","0x7","0x0","0x50","67","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb4","0x2","0x7","0x0","0x50","0","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb6","0x5f","0x60","0x0","0x4d","205","0","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0xb7","0xb8","0x60","0x0","0x3d","12","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb8","0xb8","0x60","0x0","0x3d","14","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb9","0xb9","0x17","0x0","0x3d","84","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xba","0xb9","0x17","0x0","0x3d","21","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbb","0xb3","0x9","0x0","0x8d","136","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xbc","0xb3","0x9","0x0","0x8d","74","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
