"0x8c0290","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x40","0x8d","0x11","0x0","0x2d","0x1c","0x0","0x1","0x88c01d0","0x21","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x8d","0xb","0x0","0x35","0x55c","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0x8d","0xb","0x0","0x35","0x59c","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x44","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x45","0x8d","0x40","0x0","0x2d","0x55c","0x0","0x0","0x0","0x21","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x46","0x8d","0x40","0x0","0x2d","0x59c","0x0","0x0","0x0","0x21","0x28","0x0","0x0","0x0","0x0","0x9","0x0"
"0x47","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x48","0x8d","0x29","0x0","0x2d","0x600","0x0","0x0","0x0","0x3a","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x49","0x8d","0x40","0x0","0x2d","0x601","0x0","0x0","0x0","0x21","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4a","0x8d","0x7","0x0","0x35","0x603","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4b","0x8d","0x1d","0x0","0x2d","0x602","0x0","0x0","0x0","0x4","0x2f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0x8d","0x15","0x0","0x25","0x60e","0x0","0x1","0x88c01d8","0x4","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4e","0x8d","0x35","0x0","0x35","0x60f","0x0","0x1","0x88c01e0","0x21","0x17","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4f","0x8d","0x15","0x0","0x25","0x610","0x0","0x1","0x88c01e8","0x4","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x50","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x19","0x4b","0x0","0x8","0x450","0x0","0x1","0x88c01f0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x52","0x1","0x2","0x0","0x8","0x44f","0x0","0x2","0x88c01f8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0xf","0x1","0x0","0x8","0x451","0x0","0x2","0x88c0208","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x1e","0x3c","0x0","0x8","0x451","0x0","0x1","0x88c0218","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x55","0xb","0x1b","0x0","0x8","0x44f","0x0","0x1","0x88c0220","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x56","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0xce","0x9","0x0","0x8","0x506","0x0","0x1","0x88c0228","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x59","0x57","0x2b","0x0","0x2d","0x600","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x5a","0x8d","0x2f","0x0","0x2d","0x601","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x19","0x4b","0x0","0x8","0x291","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x1","0x2","0x0","0x8","0x352","0x0","0x2","0x88c0230","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5e","0xf","0x1","0x0","0x8","0x312","0x0","0x1","0x88c0240","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x2","0x7","0x0","0x8","0x3cf","0x0","0x2","0x88c0248","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x60","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x61","0xc0","0x5","0x0","0xb","0x450","0x0","0x1","0x88c0258","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x63","0xcd","0x9","0x0","0xb","0x506","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x64","0xcd","0x9","0x0","0xb","0x50b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x65","0x19","0x4b","0x0","0x8","0x548","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x66","0x1","0x2","0x0","0x8","0x547","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x67","0xf","0x1","0x0","0x8","0x586","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x68","0xb","0x1b","0x0","0x8","0x589","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x69","0x1e","0x3c","0x0","0x8","0x5c3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6b","0xc8","0x7a","0x0","0xb","0x388","0x0","0x1","0x88c0260","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6c","0xcd","0x9","0x0","0xb","0x309","0x0","0x2","0x88c0268","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6d","0xcd","0x9","0x0","0xb","0x308","0x0","0x2","0x88c0278","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0xcd","0xb","0x0","0xb","0x349","0x0","0x1","0x88c0288","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6f","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
