"0x8c6e14","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x1d","0x81","0x1d","0x0","0x25","79","5","0x0","0x0","0x0","0x3","0x2e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1e","0x80","0x4b","0x0","0x1d","17","5","0x0","0x0","0x0","0x4e","0x4c","0x0","0x0","0xf","0x3","0x9","0x0"
"0x1f","0x80","0x4b","0x0","0x1d","81","37","0x0","0x0","0x0","0x53","0x4c","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x80","0x2d","0x0","0x6d","204","4","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0x80","0x3f","0x0","0x65","76","4","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x80","0x3f","0x0","0x6d","11","4","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x23","0x80","0x3f","0x0","0x65","138","4","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x24","0x80","0x43","0x0","0x35","20","36","0x0","0x0","0x0","0x27","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x25","0x80","0x2d","0x0","0x75","147","4","0x0","0x0","0x0","0x46","0x48","0x68","0x0","0x3","0x3","0x9","0x0"
"0x26","0x80","0x19","0x0","0x75","197","2","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x27","0x80","0xf","0x0","0x75","77","3","0x0","0x0","0x0","0x5","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x28","0x80","0x43","0x0","0x2d","148","33","0x0","0x0","0x0","0x5a","0x28","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0x80","0x3f","0x0","0x5d","130","0","0x0","0x0","0x0","0x26","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0x80","0xf","0x0","0x5d","17","1","0x0","0x0","0x0","0x5","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x2b","0x80","0xf","0x0","0x5d","208","0","0x0","0x0","0x0","0x5","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x2c","0x80","0x3f","0x0","0x5d","193","0","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x80","0xf","0x0","0x6d","4","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x2e","0x80","0x13","0x0","0x6d","131","0","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2f","0x80","0x13","0x0","0x6d","194","0","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x30","0x80","0x2d","0x0","0x6d","11","5","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x31","0x80","0x2d","0x0","0x6d","76","5","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x32","0x80","0x19","0x0","0x75","195","2","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x33","0x53","0x11","0x0","0x64","65","32","0x0","0x0","0x0","0x29","0x21","0x7c","0x0","0x3","0x3","0x9","0x20"
"0x34","0x80","0x2d","0x0","0x6d","1","0","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x80","0x2d","0x0","0x6d","64","0","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x36","0x80","0x2d","0x0","0x6d","128","33","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x80","0x3f","0x0","0x65","0","1","0x0","0x1","0x88c6d3c","0x1f","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x39","0x80","0x3f","0x0","0x6d","64","1","0x0","0x1","0x88c6d44","0x1f","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x3a","0x80","0x3f","0x0","0x5d","3","0","0x0","0x1","0x88c6d4c","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x1","0x2","0x0","0x68","12","1","0x0","0x1","0x88c6d54","0x9","0x2","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3d","0xb","0x1b","0x0","0x19","12","1","0x0","0x1","0x88c6d5c","0x2f","0x6d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x17","0x27","0x0","0x21","12","1","0x0","0x1","0x88c6d64","0x3a","0x39","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x80","0x48","0x0","0x6d","23","0","0x0","0x1","0x88c6d6c","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x80","0x48","0x0","0x6d","23","0","0x0","0x1","0x88c6d74","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x42","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x43","0x80","0x48","0x0","0x6d","13","0","0x0","0x1","0x88c6d7c","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x44","0x80","0x48","0x0","0x6d","9","0","0x0","0x1","0x88c6d84","0x16","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x80","0x25","0x0","0x6d","14","0","0x0","0x1","0x88c6d8c","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x47","0x80","0x25","0x0","0x6d","16","0","0x0","0x1","0x88c6d94","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x48","0x80","0x25","0x0","0x6d","5","0","0x0","0x1","0x88c6d9c","0x39","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x49","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x80","0x7","0x0","0x25","128","4","0x0","0x1","0x88c6da4","0x3","0x1c","0x0","0x0","0x0","0x12","0x9","0x0"
"0x4b","0x80","0x5","0x0","0x75","192","4","0x0","0x1","0x88c6dac","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0x80","0x5","0x0","0x75","64","4","0x0","0x1","0x88c6db4","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4d","0x80","0x3f","0x0","0x6d","64","4","0x0","0x1","0x88c6dbc","0x20","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x4e","0x80","0x3f","0x0","0x6d","128","4","0x0","0x1","0x88c6dc4","0x20","0x28","0x0","0x0","0x0","0x12","0x9","0x0"
"0x4f","0x80","0xf","0x0","0x6d","0","5","0x0","0x1","0x88c6dcc","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x50","0x80","0x25","0x0","0x6d","192","4","0x0","0x0","0x0","0x38","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x51","0x80","0x25","0x0","0x75","64","4","0x0","0x0","0x0","0x39","0x6d","0x0","0x0","0x0","0x12","0x9","0x0"
"0x52","0x80","0x25","0x0","0x6d","0","4","0x0","0x1","0x88c6dd4","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x53","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x80","0x5","0x0","0x75","141","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x55","0x80","0x5","0x0","0x75","13","5","0x0","0x0","0x0","0x1c","0x16","0x0","0x0","0x0","0x0","0x9","0x0"
"0x56","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x2","0x7","0x0","0x68","66","5","0x0","0x1","0x88c6ddc","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0xf","0x1","0x0","0x68","67","5","0x0","0x1","0x88c6de4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x59","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0x2","0x7","0x0","0x50","64","5","0x0","0x1","0x88c6dec","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x2","0x7","0x0","0x50","68","5","0x0","0x1","0x88c6df4","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x2","0x7","0x0","0x50","65","5","0x0","0x1","0x88c6dfc","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x2","0x7","0x0","0x50","66","5","0x0","0x1","0x88c6e04","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5e","0x2","0x7","0x0","0x50","67","5","0x0","0x1","0x88c6e0c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x2","0x7","0x0","0x50","64","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x60","0x2","0x7","0x0","0x50","66","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x61","0x2","0x7","0x0","0x50","68","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x62","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x63","0x66","0x11","0x0","0x35","134","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x64","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
