"0x8c4eb4","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x1e","0x80","0x3f","0x0","0x65","85","35","0x0","0x0","0x0","0x28","0x25","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1f","0x80","0x5","0x0","0x5d","195","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x80","0x5","0x0","0x65","197","4","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0x80","0x19","0x0","0x5d","8","2","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x22","0x80","0x19","0x0","0x5d","9","2","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x23","0x80","0x19","0x0","0x5d","4","5","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x24","0x80","0x4e","0x0","0x5d","84","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0x80","0x4e","0x0","0x5d","85","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0x80","0x25","0x0","0x6d","200","4","0x0","0x0","0x0","0x3a","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x27","0x80","0x5","0x0","0x65","16","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x28","0x80","0x5","0x0","0x65","8","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0x80","0x5","0x0","0x65","10","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0x80","0x35","0x0","0x2d","9","4","0x0","0x0","0x0","0x26","0x28","0x76","0x0","0x0","0x3","0x9","0x0"
"0x2b","0x80","0x3f","0x0","0x6d","64","3","0x0","0x0","0x0","0x24","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2c","0x80","0x5","0x0","0x65","146","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x80","0x25","0x0","0x65","17","2","0x0","0x0","0x0","0x39","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2e","0x80","0x25","0x0","0x6d","204","4","0x0","0x0","0x0","0x3a","0x5e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2f","0x80","0x9","0x0","0x5d","194","2","0x0","0x0","0x0","0x1a","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0x15","0x4d","0x0","0x8","85","1","0x0","0x1","0x88c4e2c","0x5f","0x6d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x32","0x14","0xf","0x0","0x50","85","1","0x0","0x1","0x88c4e34","0x6","0x64","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x80","0x42","0x0","0x5d","64","5","0x0","0x0","0x0","0x1f","0x28","0x0","0x0","0x0","0x4","0x9","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x80","0x41","0x0","0x5d","80","5","0x0","0x0","0x0","0x1f","0x28","0x0","0x0","0x0","0x4","0xa","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x80","0x48","0x0","0x65","74","5","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x39","0x80","0x48","0x0","0x65","76","5","0x0","0x0","0x0","0x14","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3b","0x80","0x48","0x0","0x65","70","5","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3d","0x1e","0x3c","0x0","0x8","198","3","0x0","0x2","0x88c4e3c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0xf","0x1","0x0","0x8","9","0","0x0","0x1","0x88c4e4c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x2","0x7","0x0","0x8","9","0","0x0","0x1","0x88c4e54","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x19","0x4b","0x0","0x8","8","0","0x0","0x1","0x88c4e5c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x43","0x2","0x7","0x0","0x8","6","0","0x0","0x1","0x88c4e64","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0x2","0x7","0x0","0x8","4","0","0x0","0x1","0x88c4e6c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x45","0x2","0x7","0x0","0x8","4","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x2","0x7","0x0","0x8","6","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x2","0x7","0x0","0x8","5","0","0x0","0x1","0x88c4e74","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x48","0x2","0x7","0x0","0x8","10","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x2","0x7","0x0","0x8","7","0","0x0","0x1","0x88c4e7c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x2","0x7","0x0","0x8","8","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0x1e","0x3c","0x0","0x60","18","1","0x0","0x2","0x88c4e84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4e","0xf","0x1","0x0","0x50","208","3","0x0","0x2","0x88c4e94","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0x1e","0x3c","0x0","0x50","209","3","0x0","0x2","0x88c4ea4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x50","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x80","0x3f","0x0","0x5d","2","1","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x52","0x80","0x3f","0x0","0x5d","65","1","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x53","0x80","0x3f","0x0","0x65","64","1","0x0","0x0","0x0","0x28","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x54","0x80","0x1b","0x0","0x15","145","3","0x0","0x0","0x0","0x2e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x55","0x80","0x9","0x0","0x65","13","3","0x0","0x0","0x0","0x1a","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x56","0x80","0x2d","0x0","0x6d","74","3","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x57","0x80","0x2d","0x0","0x65","201","2","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x58","0x80","0x2d","0x0","0x65","203","2","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x59","0x80","0xf","0x0","0x6d","205","35","0x0","0x0","0x0","0x13","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x2","0x7","0x0","0x50","131","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x2","0x7","0x0","0x50","196","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x2","0x7","0x0","0x50","133","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5e","0x2","0x7","0x0","0x50","68","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x2","0x7","0x0","0x50","66","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x60","0x2","0x7","0x0","0x50","194","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x61","0x2","0x7","0x0","0x50","3","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x62","0x2","0x7","0x0","0x50","129","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x63","0x2","0x7","0x0","0x50","1","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x64","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x65","0x5f","0x5a","0x0","0x2d","203","2","0x0","0x0","0x0","0x20","0x28","0x0","0x0","0x0","0x3","0xc","0x0"
"0x66","0xb2","0x5a","0x0","0x25","74","3","0x0","0x0","0x0","0x29","0x28","0x0","0x0","0x0","0x3","0xc","0x0"
"0x67","0xb2","0x5a","0x0","0x25","201","2","0x0","0x0","0x0","0x2b","0x28","0x0","0x0","0x0","0x3","0xc","0x0"
"0x68","0xb5","0xb","0x0","0x65","130","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x69","0xb5","0xb","0x0","0x65","18","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x6a","0xb5","0xb","0x0","0x65","136","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6b","0xb5","0xb","0x0","0x65","212","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x6c","0xb5","0xb","0x0","0x65","137","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6d","0xb5","0xb","0x0","0x65","78","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6e","0xb3","0x9","0x0","0x65","64","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x6f","0xb3","0x9","0x0","0x65","141","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x70","0xb3","0x9","0x0","0x65","78","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x71","0xb0","0x6","0x0","0x65","196","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x72","0xb0","0x6","0x0","0x65","76","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x73","0xac","0x2","0x0","0x65","67","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x74","0xac","0x2","0x0","0x65","145","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x75","0xad","0x4","0x0","0x65","71","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x76","0xac","0x2","0x0","0x65","8","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x77","0xb3","0x9","0x0","0x65","71","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x78","0xac","0x2","0x0","0x65","0","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x79","0xac","0x2","0x0","0x65","73","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7a","0xac","0x2","0x0","0x65","148","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x7b","0xac","0x2","0x0","0x65","213","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x7c","0xac","0x2","0x0","0x65","204","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7d","0xac","0x2","0x0","0x65","13","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7e","0xab","0x1","0x0","0x65","9","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x7f","0xb0","0x6","0x0","0x65","5","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x80","0xb0","0x6","0x0","0x65","209","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x81","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x82","0x2","0x7","0x0","0x50","131","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x83","0x2","0x7","0x0","0x50","196","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x84","0x2","0x7","0x0","0x50","133","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x85","0x2","0x7","0x0","0x50","68","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x86","0x2","0x7","0x0","0x50","66","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x87","0x2","0x7","0x0","0x50","194","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x88","0x2","0x7","0x0","0x50","3","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x89","0x2","0x7","0x0","0x50","129","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x2","0x7","0x0","0x50","1","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x5f","0x60","0x0","0x2d","203","2","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0x8d","0xb8","0x60","0x0","0x25","74","3","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x8e","0xb8","0x60","0x0","0x25","201","2","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x8f","0xb5","0xb","0x0","0x65","130","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x90","0xb5","0xb","0x0","0x65","18","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x91","0xb5","0xb","0x0","0x65","136","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x92","0xb5","0xb","0x0","0x65","212","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x93","0xb5","0xb","0x0","0x65","137","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x94","0xb5","0xb","0x0","0x65","78","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x95","0xb3","0x9","0x0","0x65","64","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x96","0xb3","0x9","0x0","0x65","141","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x97","0xb3","0x9","0x0","0x65","78","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x98","0xb0","0x6","0x0","0x65","196","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x99","0xb0","0x6","0x0","0x65","76","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x9a","0xac","0x2","0x0","0x65","67","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9b","0xac","0x2","0x0","0x65","145","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9c","0xad","0x4","0x0","0x65","71","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9d","0xac","0x2","0x0","0x65","8","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x9e","0xb3","0x9","0x0","0x65","71","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x9f","0xac","0x2","0x0","0x65","0","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa0","0xac","0x2","0x0","0x65","73","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa1","0xac","0x2","0x0","0x65","148","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa2","0xac","0x2","0x0","0x65","213","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa3","0xac","0x2","0x0","0x65","204","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa4","0xac","0x2","0x0","0x65","13","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa5","0xab","0x1","0x0","0x65","9","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xa6","0xb0","0x6","0x0","0x65","5","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xa7","0xb0","0x6","0x0","0x65","209","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xa8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa9","0x2","0x7","0x0","0x50","131","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x2","0x7","0x0","0x50","196","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xab","0x2","0x7","0x0","0x50","133","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xac","0x2","0x7","0x0","0x50","68","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xad","0x2","0x7","0x0","0x50","66","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xae","0x2","0x7","0x0","0x50","194","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x2","0x7","0x0","0x50","3","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x2","0x7","0x0","0x50","129","0","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x2","0x7","0x0","0x50","1","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x5f","0x56","0x0","0x2d","203","2","0x0","0x0","0x0","0x1d","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb4","0xaf","0x57","0x0","0x25","74","3","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb5","0xae","0x56","0x0","0x25","201","2","0x0","0x0","0x0","0x6","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb6","0xb5","0xb","0x0","0x65","130","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb7","0xb5","0xb","0x0","0x65","18","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xb8","0xb5","0xb","0x0","0x65","136","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xb9","0xb5","0xb","0x0","0x65","212","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xba","0xb5","0xb","0x0","0x65","137","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbb","0xb5","0xb","0x0","0x65","78","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbc","0xb3","0x9","0x0","0x65","64","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbd","0xb3","0x9","0x0","0x65","141","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xbe","0xb3","0x9","0x0","0x65","78","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
