"0x8b9894","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x13","0xac","0x54","0x0","0x15","209","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x14","0xac","0x55","0x0","0x55","78","0","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x15","0xac","0x54","0x0","0x55","208","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x16","0xac","0x54","0x0","0x45","147","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x17","0xad","0x55","0x0","0x4d","80","1","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x18","0xab","0x53","0x0","0x25","4","2","0x0","0x0","0x0","0xaf","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x19","0xb7","0x5f","0x0","0x4d","211","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1a","0xb7","0x5f","0x0","0x4d","210","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1b","0xbb","0x63","0x0","0x55","149","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1c","0xbb","0x63","0x0","0x55","21","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1d","0xb3","0x5b","0x0","0x55","211","1","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0xa","0xc","0x0"
"0x1e","0xb4","0x5b","0x0","0x4d","19","0","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x1f","0xb4","0x5b","0x0","0x4d","85","0","0x0","0x0","0x0","0xb1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x20","0xaf","0x54","0x0","0x55","210","35","0x0","0x0","0x0","0x14","0x6a","0x69","0x0","0x3","0x3","0xc","0x0"
"0x21","0xbc","0x54","0x0","0x55","82","4","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x22","0xbc","0x54","0x0","0x55","213","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x23","0xbc","0x55","0x0","0x55","211","3","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x24","0xbc","0x63","0x0","0x55","20","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x25","0xbc","0x63","0x0","0x55","83","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x26","0xbc","0x64","0x0","0x15","84","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x27","0xb8","0x5f","0x0","0x4d","5","4","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x28","0xb8","0x5f","0x0","0x4d","70","4","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x29","0xac","0x54","0x0","0x55","13","0","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x2a","0xac","0x54","0x0","0x55","80","0","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x2b","0xac","0x54","0x0","0x55","67","2","0x0","0x0","0x0","0x8","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2c","0xae","0x52","0x0","0x55","2","4","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x2d","0xae","0x55","0x0","0x4d","2","2","0x0","0x0","0x0","0x30","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x2e","0xae","0x54","0x0","0x55","67","4","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x2f","0xae","0x55","0x0","0x55","0","4","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x30","0xae","0x54","0x0","0x55","192","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x31","0xac","0x54","0x0","0x15","9","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x32","0xac","0x54","0x0","0x15","133","2","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0x33","0x5d","0x56","0x0","0x44","64","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x34","0xaa","0x52","0x0","0x55","0","3","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x19","0x4b","0x0","0x1a","76","4","0x0","0x3","0x88b976c","0x4c","0x6d","0x56","0x0","0xe","0x3","0x0","0x0"
"0x37","0x1a","0x43","0x19","0xa","76","4","0x0","0x1","0x88b9784","0x86","0x6d","0x0","0x0","0x0","0x3","0x0","0x0"
"0x38","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x39","0xac","0x54","0x0","0x55","66","36","0x0","0x0","0x0","0x1","0x6a","0x69","0x0","0x6","0x5","0xc","0x0"
"0x3a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3b","0xaa","0x52","0x0","0x55","0","0","0x0","0x1","0x88b978c","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x3c","0xaa","0x52","0x0","0x55","0","0","0x0","0x1","0x88b9794","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x3d","0xaa","0x52","0x0","0x55","0","0","0x0","0x1","0x88b979c","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x3e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0xad","0x55","0x0","0x55","21","0","0x0","0x1","0x88b97a4","0x2d","0x0","0x0","0x0","0x0","0x4","0xc","0x0"
"0x40","0xac","0x54","0x0","0x4d","21","0","0x0","0x1","0x88b97ac","0x18","0x0","0x0","0x0","0x0","0x4","0xc","0x0"
"0x41","0xac","0x54","0x0","0x55","21","0","0x0","0x1","0x88b97b4","0x1","0x1c","0x0","0x0","0x0","0x0","0xc","0x0"
"0x42","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x43","0xac","0x54","0x0","0x55","64","4","0x0","0x1","0x88b97bc","0x18","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x44","0xac","0x54","0x0","0x55","64","4","0x0","0x1","0x88b97c4","0x1","0x1c","0x0","0x0","0x0","0x0","0xc","0x0"
"0x45","0xad","0x55","0x0","0x55","64","4","0x0","0x1","0x88b97cc","0x2d","0x0","0x0","0x0","0x0","0x4","0xc","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x18","0x3e","0x0","0x8","0","0","0x0","0x5","0x88b97d4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x48","0x15","0x4d","0x0","0x8","0","0","0x0","0x5","0x88b97fc","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x1","0x2","0x0","0x8","0","0","0x0","0x5","0x88b9824","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0xb","0x1b","0x0","0x8","0","0","0x0","0x3","0x88b984c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4b","0x2","0x7","0x0","0x8","0","0","0x0","0x4","0x88b9864","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0x14","0xf","0x0","0x8","0","0","0x0","0x2","0x88b9884","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
