INLINE MovingMapSpriteTable 0xFE 0x01,Graphics,Animation
Necromancer,0x81edd1c,0x81ee558
Fleet,0x81ee6b0,0x81eec84
Phantom,0x81eedec,0x81ef5cc
Patriarch,PatriarchMv|IsPointer,0x81efe70
Matriarch,MatriarchMv|IsPointer,0x81f06d8
DarkKnightM,DarkKnightMv|IsPointer,0x81f1080
DarkKnightF,DarkKnightMv|IsPointer,0x81f1a54
Magus,MagusMMv|IsPointer,0x81f249c
MagusF,MagusFMv|IsPointer,0x81f249c
MasterKnightF,GoldKnightMv|IsPointer,0x81c7428
Baron,CommanderMv|IsPointer,0x81f3fa0
ImpalerM,ImpalerMv|IsPointer,0x81c3d7c
WyvernGeneral,0x81d6ec4,0x81d7cc8
MarksmanM,HunterMv|IsPointer,0x81f607c
MasterKnightM,GoldKnightMv|IsPointer,0x81c7428
ChampionM,ChampionMv|IsPointer,0x81cbd94
TruebladeF,TruebladeFMv|IsPointer,0x81d0160
TruebladeM,TruebladeMv|IsPointer,0x81f876c
MountedBrigand,MountedBrigandMv|IsPointer,0x81f90a0
Gladiator,0x81e640c,0x81e6df4
SeraphKnight,0x81e9848,0x81faf40
0x67 Archer on Ballista,0x81fd180,0x81fd808
0x68 Archer on Iron Ballista,0x81fd960,0x81fdfe8
0x69 Archer on Killer Ballista,0x81fe140,0x81fe7c8
0x6A Ballista,0x81fe920,0x81fee74
0x6B Iron Ballista,0x81fefdc,0x81ff4c8
0x6C Killer Ballista,0x81ff620,0x81ffbbc
0x6D Civilian,0x81ffd24,0x8200348
0x6E Civilian (F),0x82004a0,0x8200afc
0x6F Civilian,0x8200c54,0x8201338
0x70 Civilian (F),0x8201490,0x8201b84
MageM2,0x81d7e28,0x81d8668
MageF2,0x81d87c0,0x81d908c
ShamanM2,0x81dd0a4,0x81dd888
ShamanF2,0x81dd0a4,0x81dd888
MonkM2,0x81e6f4c,0x81e7638
MonkF2,MonkFMv|IsPointer,0x81e7638
SpellswordM2,SpellswordMMv|IsPointer,0x81cd1bc
SpellswordF2,SpellswordFMv|IsPointer,0x81cdb58
CavalierM2,0x81c5fe4,0x81c692c
CavalierF2,0x81c5fe4,0x81c692c
Knight2,KnightMv|IsPointer,0x81c7e74
SoldierM2,0x81ed418,0x81edbc4
WyvernRider2,0x81d32ec,0x81d403c
ArcherM2,0x81d02b8,0x81d0a7c
ArcherF2,0x81d0bd4,0x81d13c8
MercenaryM2,0x81ca27c,0x81caa20
MercenaryF2,0x81cab78,0x81cb2e0
Fighter2,0x81e3b44,0x81e4340
Brigand2,0x81e4ffc,0x81e582c
Pirate2,PirateMv|IsPointer,0x81e62b4
MyrmidonM2,0x81cc9d4,0x81cd1bc
MyrmidonF2,0x81cd314,0x81cdb58
PegasusKnight2,0x81e89d0,0x81e96f0
Halberdier,HalberdierMv|IsPointer,0x81edbc4
Sentinel,SentinelMv|IsPointer,0x81edbc4
JacketHero,0x81cb438,0x81cbd94
Basileus,BaseliusMv|IsPointer,BaseliusAnimationData|IsPointer
HectorClass,HectorMv|IsPointer,HectorAnimationData|IsPointer
Trueerblade,TruerbladeMv|IsPointer,0x81cd1bc
GaidenSage,0x81d91e4,0x81d9b58
IzukClass,IzukMv|IsPointer,0x81d9b58
BattleSageF,BattleSageFMv|IsPointer,0x81d9b58
NarratorClass,HarbingerMv|IsPointer,0x81cd1bc
Warlock,WarlockMv|IsPointer,0x81f95f4
SpearHero,0x81cb438,0x81cbd94
XeximClass,0x81cf040,0x81cf7e8
GrandPaladin,0x81c6a84,0x81c7428
HolySage,0x81d9cb0,0x81da694
WilSniper,0x81d1520,0x81d1d48
BattleSageM,BattleSageMv|IsPointer,0x81d9b58
LostSoulM,0x8200c54,0x8201338
LostSoulF,0x8201490,0x8201b84
ArmoredWyvernLord,0x81d504c,0x81d5e58
EdgySwordmaster,EdgySwordmasterMv|IsPointer,0x81ce4fc
EmperorClass,0x8201CDC,0x8202558
MurielSage,0x81d9cb0,0x81da694
ImpalerF,ImpalerMv|IsPointer,0x81f49b8
SoldierF2,0x81ed418,0x81edbc4
BowKnight,0x81d286c,0x81d3194
HighPriest,PatriarchMv|IsPointer,0x81efe70
DreadFighterM,DreadFighterMMv|IsPointer,0x81ce4fc
DreadFighterF,DreadFighterFMv|IsPointer,0x81ce4fc
MaligKnight,MaligKnightMv|IsPointer,0x81d5e58
Strategist,BattleSageFMv|IsPointer,0x81d9b58
SpellswordM,SpellswordMMv|IsPointer,0x81cd1bc
SpellswordF,SpellswordFMv|IsPointer,0x81cdb58
ChampionF,0x81cbef4,0x81cbd94
ShadeKnightM,DarkKnightMv|IsPointer,0x81f1080
ShadeKnightF,DarkKnightMv|IsPointer,0x81f1a54
