0x803d64,Name,Description,Number,Default Class,Portrait,Mini Portrait,Affinity,##UNKNOWN##,Base Level,Base HP,Base Pwr,Base Skl,Base Spd,Base Def,Base Res,Base Lck,Base Con,Sword Rank,Lance Rank,Axe Rank,Bow Rank,Staff Rank,Anima Rank,Light Rank,Dark Rank,HP Growth,Pwr Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Lck Growth,##UNKNOWN##,Attributes,Support Data Pointer,##UNKNOWN##
Innes,0x21c,0x278,0xb,classSniper,0xf,0x0,4,0x14,1,10,7,7,10,5,7,14,1,WR_NONE,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,75,40,40,45,20,25,45,0x0,CA_NONE,0x88aed5c,0x0
Lute,0x21d,0x279,0xc,classMageF,0x10,0x0,7,0xf,1,1,5,3,5,1,1,8,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_C,WR_NONE,WR_NONE,45,65,30,45,15,40,45,0x0,CA_FEMALE,0x88aeccc,0x7
Natasha,0x21e,0x27a,0xd,classCleric,0x11,0x0,4,0x10,1,2,1,2,6,2,0,6,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_D,WR_NONE,WR_NONE,WR_NONE,50,60,25,40,15,55,60,0x0,CA_FEMALE,0x88aece4,0xa
Cormag,0x21f,0x27b,0xe,classWywernRider,0x13,0x0,1,0x1f,9,10,7,6,5,4,2,4,1,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,55,40,45,25,15,35,0x0,CA_NONE,0x88aee1c,0x0
Ephraim,0x220,0x27c,0xf,classEphraimLord,0x14,0x0,1,0x1,4,5,2,3,4,1,2,8,0,WR_NONE,WR_D,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,80,55,55,45,35,25,50,0x0,CA_NONE,0x88aebc4,0x3
Forde,0x221,0x27d,0x10,classCavalier,0x16,0x0,3,0x5,5,4,2,6,3,2,2,7,0,WR_D,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,20,25,35,0x0,CA_NONE,0x88aed2c,0x3
Kyle,0x222,0x27e,0x11,classCavalier,0x18,0x0,4,0x4,6,5,4,4,2,3,1,6,1,WR_D,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,90,50,40,40,25,20,20,0x0,CA_NONE,0x88aed14,0x3
Amelia,0x223,0x27f,0x12,classRecruit1,0x19,0x0,2,0x13,1,3,1,3,3,2,2,6,0,WR_NONE,WR_E,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,35,40,40,30,15,50,0x0,CA_FEMALE,0x88aee34,0x7
Artur,0x224,0x280,0x13,classMonk,0x1a,0x0,4,0xe,2,1,5,5,6,1,1,2,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_E,WR_NONE,55,50,50,40,15,55,25,0x0,CA_NONE,0x88aecb4,0x0
Gerik,0x225,0x281,0x14,classMercenary,0x1b,0x0,2,0x15,10,14,10,5,5,6,4,8,4,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,90,45,40,30,35,25,30,0x0,CA_NONE,0x88aed74,0x4
Tethys,0x226,0x282,0x15,classDancer,0x1c,0x0,1,0x16,1,4,0,0,5,5,3,10,1,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,5,10,70,30,75,80,0x0,CA_FEMALE,0x88aed8c,0x7
Marisa,0x227,0x283,0x16,classMyrmidonF,0x1e,0x0,4,0x17,5,8,4,3,3,3,2,9,0,WR_D,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,75,30,55,60,15,25,50,0x0,CA_FEMALE,0x88aeda4,0xc
Saleh,0x228,0x284,0x17,classSage,0x20,0x0,3,0x18,2,10,11,14,10,3,8,11,1,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_C,WR_A,WR_B,WR_NONE,50,30,25,40,30,35,40,0x0,CA_NONE,0x88aedbc,0x6
Ewan,0x229,0x285,0x18,classPupil1,0x21,0x0,6,0x19,2,2,2,2,4,0,0,5,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_E,WR_NONE,WR_NONE,50,45,40,35,15,40,50,0x0,CA_NONE,0x88aedd4,0x5
L'Arachel,0x22a,0x286,0x19,classTroubadour,0x22,0x0,6,0x1b,3,3,5,5,7,3,3,12,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_D,WR_NONE,WR_NONE,WR_NONE,45,50,45,45,15,50,65,0x0,CA_FEMALE,0x88aedec,0xb
Dozla,0x22b,0x287,0x1a,classBerserker,0x23,0x0,2,0x1c,1,19,9,5,2,5,6,4,3,WR_NONE,WR_NONE,WR_B,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,35,40,30,25,30,0x0,CA_NONE,0x88aee04,0x4
[Enemy],0x267,0x0,0x1b,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
Rennac,0x22d,0x288,0x1c,classRogue,0x24,0x0,5,0x1d,1,12,7,15,8,7,11,5,0,WR_B,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,65,25,45,60,25,30,25,0x0,CA_NONE,0x88aee4c,0x0
Duessel,0x22e,0x289,0x1d,classGreatKnight,0x25,0x0,7,0x1e,8,20,9,8,6,6,6,8,2,WR_A,WR_A,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,55,40,30,45,30,20,0x0,CA_NONE,0x88aee64,0x4
Myrrh,0x22f,0x28a,0x1e,classManakete2F,0x26,0x0,3,0x22,1,3,3,1,3,0,5,3,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,130,90,85,65,150,30,30,0x0,CA_FEMALE,0x88aee7c,0xc
Knoll,0x230,0x28b,0x1f,classShaman,0x29,0x0,5,0x20,9,5,10,8,6,0,6,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_C,70,50,40,35,10,45,20,0x0,CA_NONE,0x88aee94,0x3
Joshua,0x231,0x28c,0x20,classMyrmidon,0x2a,0x0,3,0x11,5,8,4,4,5,3,2,7,0,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,80,35,55,55,20,20,30,0x0,CA_NONE,0x88aecfc,0x3
Syrene,0x232,0x28d,0x21,classFalcoKnight,0x2b,0x0,2,0x23,1,7,6,6,8,5,8,12,1,WR_C,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,70,40,50,60,20,50,30,0x0,CA_FEMALE | CA_TRIANGLEATTACK_PEGASI,0x88aeeac,0xa
Tana,0x233,0x28e,0x22,classPegasusKnight,0x2c,0x0,3,0x12,4,6,3,4,8,3,5,8,0,WR_NONE,WR_D,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,65,45,40,65,20,25,60,0x0,CA_FEMALE | CA_TRIANGLEATTACK_PEGASI,0x88aed44,0xa
Lyon (CC),0x234,0x28f,0x23,classNecromancer,0x46,0x0,4,0x24,14,26,13,9,6,14,11,4,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_S,85,50,55,55,45,55,30,0x0,CA_NONE,0x0,0x0
Orson (CC),0x236,0x291,0x24,classPaladin,0x45,0x0,5,0x28,13,25,11,11,7,6,8,6,1,WR_A,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,80,55,45,40,45,30,25,0x0,CA_NONE,0x0,0x0
Glen (CC),0x24a,0x2a4,0x25,classWywernLord,0x4b,0x0,3,0x27,12,21,11,12,6,8,4,7,1,WR_A,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,45,50,45,35,40,20,0x0,CA_NONE,0x0,0x0
Selena (CC),0x238,0x293,0x26,classMageKnightF,0x3f,0x0,2,0x26,11,19,10,8,10,8,11,10,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_B,WR_A,WR_NONE,WR_NONE,85,40,55,40,20,30,25,0x0,CA_FEMALE,0x0,0x0
Valter (CC),0x237,0x292,0x27,classWyvernKnight,0x42,0x0,4,0x29,13,25,12,10,9,6,11,3,1,WR_NONE,WR_S,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,80,40,55,50,20,20,15,0x0,CA_NONE,0x0,0x0
Riev (CC),0x246,0x2a0,0x28,classBishop,0x48,0x0,5,0x2b,16,28,10,17,15,13,10,9,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_S,WR_NONE,75,45,50,40,20,45,15,0x0,CA_NONE,0x0,0x0
Caellach (CC),0x244,0x29f,0x29,classHero,0x43,0x0,2,0x2a,12,25,13,5,3,7,11,14,2,WR_A,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,45,45,30,20,20,0x0,CA_NONE,0x0,0x0
Fado (CC),0x25b,0x2b3,0x2a,classGeneral,0x51,0x0,1,0x2c,11,25,12,10,9,5,8,5,3,WR_A,WR_A,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,55,40,30,45,25,25,0x0,CA_NONE,0x0,0x0
Ismaire (CC),0x260,0x2b8,0x2b,classSwordmasterF,0x56,0x0,3,0x2e,9,14,10,9,11,4,12,12,0,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,75,30,60,55,20,25,30,0x0,CA_FEMALE,0x0,0x0
Hayden (CC),0x25c,0x2b4,0x2c,classRanger,0x52,0x0,7,0x2d,10,16,10,8,8,6,9,17,1,WR_A,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,70,40,45,45,25,25,40,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x2d,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x2e,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x2f,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x30,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x31,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x32,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x33,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x34,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x35,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x36,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x37,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x38,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x39,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x3a,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
Summon (Lyon),0x2f1,0x33d,0x3b,classPaladin,0x0,0x7,5,0x25,1,0,3,2,3,0,0,20,0,WR_NONE,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,60,45,30,0,0,60,0x0,CA_NONE,0x0,0x0
Summon (Unknown),0x26d,0x32e,0x3c,classSummoner,0x0,0x0,0,0x0,18,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_E,WR_NONE,WR_NONE,WR_C,50,30,35,32,8,40,45,0x0,CA_NONE,0x0,0x0
Summon (Unknown),0x26c,0x32e,0x3d,classSummoner,0x0,0x0,0,0x0,9,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_E,WR_NONE,WR_NONE,WR_C,50,30,35,32,8,40,45,0x0,CA_NONE,0x0,0x0
Summon (Knoll),0x2f1,0x33d,0x3e,classPaladin,0x0,0x7,5,0x21,1,0,2,1,2,0,0,10,0,WR_NONE,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,50,50,40,0,0,55,0x0,CA_NONE,0x0,0x0
Summon (Ewan),0x2f1,0x33d,0x3f,classPaladin,0x0,0x7,5,0x1a,1,0,1,2,1,0,0,0,0,WR_NONE,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,70,40,20,0,0,40,0x0,CA_NONE,0x0,0x0
Lyon (Ch17 Boss),0x234,0x28f,0x40,classNecromancer,0x4a,0x0,4,0x0,14,26,13,9,6,14,11,4,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_S,85,50,55,55,45,55,30,0x0,CA_BOSS,0x0,0x0
Morva (Ch20 Boss),0x235,0x290,0x41,classManakete2,0x0,0x1,3,0x0,18,42,16,10,11,3,7,7,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,150,100,90,70,160,80,30,0x0,CA_BOSS,0x0,0x0
Orson (Ch5x Ally),0x236,0x291,0x42,classPaladin,0x45,0x0,5,0x0,3,11,8,9,4,5,4,4,1,WR_A,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,80,55,45,40,45,30,25,0x0,CA_BOSS,0x0,0x0
Valter (Ch15 Boss),0x237,0x292,0x43,classWyvernKnight,0x42,0x0,4,0x0,13,25,12,10,9,6,11,3,1,WR_NONE,WR_S,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,80,40,55,50,20,20,15,0x0,CA_BOSS,0x0,0x0
Selena (Ch10&13 Boss),0x238,0x293,0x44,classMageKnightF,0x3f,0x0,2,0x0,11,19,10,8,10,8,11,10,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_B,WR_A,WR_NONE,WR_NONE,85,40,55,40,20,30,25,0x0,CA_FEMALE | CA_BOSS,0x0,0x0
Valter (Prologue),0x237,0x292,0x45,classWyvernKnight,0x42,0x0,4,0x0,5,14,6,7,6,3,5,2,1,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Breguet (Ch1 Boss),0x239,0x294,0x46,classKnight,0x31,0x0,2,0x0,4,3,3,0,1,0,0,2,0,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Bone (Ch2 Boss),0x23a,0x295,0x47,classBrigand,0x32,0x0,4,0x0,4,3,1,3,0,1,0,0,0,WR_NONE,WR_NONE,WR_D,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Bazba (Ch3 Boss),0x23b,0x296,0x48,classBrigand,0x33,0x0,1,0x0,6,5,3,4,2,2,2,1,0,WR_NONE,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Entombed (Ch4 Boss),0x255,0x2b1,0x49,classEntombed,0x0,0x4,5,0x0,6,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Saar (Ch5 Boss),0x23c,0x297,0x4a,classKnight,0x34,0x0,7,0x0,8,13,6,5,3,2,3,4,0,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Novala (Ch6 Boss),0x23d,0x298,0x4b,classShaman,0x36,0x0,1,0x0,10,12,8,7,4,3,5,7,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_C,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Murray (Ch7 Boss),0x23e,0x299,0x4c,classCavalier,0x37,0x0,6,0x0,12,12,3,7,5,1,6,7,0,WR_C,WR_B,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Tirado (Ch8 Boss),0x23f,0x29a,0x4d,classGeneral,0x38,0x0,7,0x0,1,19,5,4,2,1,5,2,0,WR_B,WR_A,WR_B,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Binks (Ch9A Boss),0x240,0x29b,0x4e,classWarrior,0x39,0x0,5,0x0,5,14,8,5,2,7,8,3,0,WR_NONE,WR_NONE,WR_B,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Pablo (Ch10A Boss),0x241,0x29c,0x4f,classSage,0x3a,0x0,4,0x0,7,16,8,5,8,2,12,9,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_C,WR_B,WR_C,WR_NONE,85,50,25,35,15,15,30,0x0,CA_BOSS,0x0,0x0
Maelduin (Ch12A Boss),0x255,0x2b1,0x50,classMaelduin,0x0,0x4,5,0x0,9,15,6,6,2,4,8,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Aias (Ch13A Boss),0x242,0x29d,0x51,classGreatKnight,0x3b,0x0,7,0x0,10,25,10,7,4,8,9,11,1,WR_A,WR_B,WR_B,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,35,35,25,15,30,0x0,CA_BOSS,0x0,0x0
Carlyle (Ch14A Boss),0x243,0x29e,0x52,classSwordmaster,0x3c,0x0,1,0x0,11,20,6,6,8,4,8,8,0,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,65,10,10,20,20,30,0x0,CA_BOSS,0x0,0x0
Caellach (Ch15 Boss),0x244,0x29f,0x53,classHero,0x43,0x0,2,0x0,12,25,13,5,3,7,11,14,2,WR_A,WR_NONE,WR_S,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,45,45,30,20,20,0x0,CA_BOSS,0x0,0x0
Pablo (Ch13A Boss),0x241,0x29c,0x54,classSage,0x3a,0x0,4,0x0,7,14,8,5,8,2,12,9,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_C,WR_B,WR_C,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x55,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Gorgon (Ch18 Boss),0x255,0x2b1,0x56,classGorgon,0x0,0x4,5,0x0,15,25,10,11,7,5,12,3,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_A,85,65,20,40,15,40,30,0x0,CA_BOSS,0x0,0x0
Riev (Ch19&20 Boss),0x246,0x2a0,0x57,classBishop,0x48,0x0,5,0x0,16,28,10,17,15,13,10,9,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_S,WR_NONE,75,45,50,40,20,45,15,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x58,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x59,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Gheb (Ch9B Boss),0x247,0x2a1,0x5a,classWarrior,0x3d,0x0,2,0x0,5,17,10,3,0,8,5,1,3,WR_NONE,WR_NONE,WR_A,WR_D,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
