INLINE ModularEXPClassTable 0xFF,Class Multiplier,Class Divisor,Granting Multiplier,Granting Divisor,Sword Multiplier,Sword Divisor,Lance Multiplier,Lance Divisor,Axe Multiplier,Axe Divisor,Bow Multiplier,Bow Divisor,Staff Multiplier,Staff Divisor,Anima Multiplier,Anima Divisor,Light Multiplier,Light Divisor,Dark Multiplier,Dark Divisor
Archer,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Archer_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Sniper,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Sniper_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Ranger,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Ranger_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernRider,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernRider_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernLord,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernLord_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernKnight,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernKnight_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Mage,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Mage_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Sage,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Sage_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MageKnight,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MageKnight_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Bishop,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Bishop_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Shaman,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Shaman_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Druid,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Druid_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Summoner,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Summoner_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Rogue,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
GorgonEgg,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
GreatKnight,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
GreatKnight_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Fighter,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Warrior,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Brigand,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Pirate,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Berserker,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Monk,3,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1
Priest,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Bard,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
PegasusKnight,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Falcoknight,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Cleric,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Troubadour,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Valkyrie,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Dancer,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Soldier,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Necromancer,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Fleet,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Phantom,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Patriarch,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Matriarch,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
DarkKnightM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
DarkKnightF,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Magus,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MagusF,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MasterKnightF,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Baron,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ImpalerM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernGeneral,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MarksmanM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MasterKnightM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ChampionM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
TruebladeF,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
TruebladeM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MountedBrigand,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Gladiator,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
SeraphKnight,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x67 Archer on Ballista,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x68 Archer on Iron Ballista,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x69 Archer on Killer Ballista,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x6A Ballista,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x6B Iron Ballista,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x6C Killer Ballista,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x6D Civilian,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x6E Civilian (F),1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x6F Civilian,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x70 Civilian (F),1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x70 Civilian,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x71 Civilian (F),1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MageM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MageF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ShamanM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ShamanF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MonkM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MonkF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
CavalierM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
CavalierF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Knight2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
SoldierM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WyvernRider2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ArcherM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ArcherF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MercenaryM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MercenaryF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Fighter2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Brigand2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Pirate2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MyrmidonM2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MyrmidonF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
PegasusKnight2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Halberdier,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Sentinel,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
JacketHero,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Basileus,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
HectorClass,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Trueerblade,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
GaidenSage,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
IzukClass,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
BattleSageF,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
NarratorClass,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Warlock,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
SpearHero,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
XeximClass,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
GrandPaladin,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
HolySage,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
WilSniper,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
BattleSageM,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
LostSoulM,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
LostSoulF,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ArmoredWyvernLord,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
EdgySwordmaster,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
EmperorClass,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
MurielSage,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
ImpalerF,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
SoldierF2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
BowKnight,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
HighPriest,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DreadFighterM,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DreadFighterF,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MaligKnight,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strategist,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SpellswordM,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SpellswordF,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ChampionF,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
