INLINE ClassTable 0xFF,Class Name,Class Description,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,Base STR,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Spear Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain defence bonus,Terrain avoid bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
Bishop,0x2d4,0x320,Bishop,Bishop,BishopSprite,0,0x7b,0x18,21,4,1,4,3,10,7,6,60,20,26,24,22,30,20,3,45,5,25,22,8,50,40,3,1,1,1,2,3,0x0,0x1,0x0,0x0,0,0,0,0,71,0,31,0,0x88af2a8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Bishop_F,0x2d4,0x320,Bishop_F,Bishop_F,BishopFSprite,0,0x7b,0x18,19,4,1,4,2,10,5,6,60,20,25,26,21,30,20,3,45,5,25,22,8,50,40,3,1,1,1,2,3,0x0,0x1,0x0,0x0,0,0,0,0,71,0,31,0,0x88af2c0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman,0x2e1,0x32c,Shaman,Shaman,ShamanSprite,1,0x7e,0x1b,16,2,2,2,2,6,7,5,60,20,20,20,20,20,20,2,50,10,32,30,10,30,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2d8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman_F,0x2e1,0x32c,Shaman_F,Shaman_F,ShamanFSprite,1,0x7e,0x1b,15,2,2,1,1,6,3,5,60,20,20,20,20,20,20,2,50,10,32,30,10,30,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2ec,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid,0x2e2,0x32d,Druid,Druid,DruidSprite,1,0x7f,0x1c,19,3,3,4,4,7,8,6,60,22,26,26,21,27,20,3,45,10,30,25,10,30,20,3,1,1,1,2,2,0x0,0x1,0x0,0x0,0,0,0,0,Drank,Crank,0,Crank,0x88af300,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid_F,0x2e2,0x32d,Druid_F,Druid_F,DruidFSprite,1,0x7f,0x1c,17,3,3,4,3,7,4,6,60,22,26,26,20,27,20,3,45,10,30,25,10,30,20,3,1,1,1,2,2,0x0,0x1,0x0,0x0,0,0,0,0,Drank,Crank,0,Crank,0x88af318,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner,0x2e3,0x32e,Summoner,Summoner,SummonerSprite,0,0x7f,0x1d,18,3,3,4,3,7,8,6,60,22,27,26,20,27,20,3,45,10,30,25,8,30,20,2,1,2,1,1,3,0x0,0x1,0x0,0x8,0,0,0,0,Drank,0,0,Crank,0x88af330,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner_F,0x2e3,0x32e,Summoner_F,Summoner_F,SummonerFSprite,0,0x7f,0x1d,18,3,3,4,3,7,4,6,60,22,27,26,20,27,20,3,45,10,30,25,8,30,20,2,1,2,1,1,3,0x0,0x1,0x0,0x8,0,0,0,0,Drank,0,0,Crank,0x88af348,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Rogue,0x2db,0x326,Rogue,Rogue,RogueSprite,0,0x94,0x9,16,3,5,9,2,3,7,6,60,20,30,30,20,20,20,3,60,25,40,40,20,20,40,2,1,1,1,2,3,0xc,0x1,0x0,0x0,1,0,0,0,0,0,0,0,0x88af360,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
GorgonEgg,0x300,0x34c,GorgonEgg,GorgonEgg,0x2a,0,0xa6,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
GreatKnight,0x2e0,0x32b,GreatKnight,GreatKnight,GreatKnightSprite,1,0x96,0x22,21,8,4,6,11,4,13,7,60,28,24,24,29,25,25,3,70,30,20,15,21,20,20,3,2,1,2,2,2,0x3,0x5,0x0,0x0,Drank,Crank,Drank,0,0,0,0,0,0x88af36c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
GreatKnight_F,0x2e0,0x32b,GreatKnight_F,GreatKnight_F,GreatKnightFSprite,1,0x96,0x22,20,6,6,7,9,4,10,7,60,26,26,25,28,25,25,3,70,30,25,20,21,20,20,3,2,1,2,2,2,0x3,0x5,0x0,0x0,Drank,Crank,Drank,0,0,0,0,0,0x88af36c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Fighter,0x2dc,0x327,Fighter,Fighter,FighterSprite,0,0x74,0x23,20,5,2,4,2,2,11,5,60,20,20,20,20,20,20,2,85,55,35,30,15,15,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af434,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior,0x2dd,0x328,Warrior,Warrior,WarriorSprite,0,0x75,0x25,28,8,5,6,5,3,13,6,60,30,28,26,26,22,25,3,80,45,25,20,16,15,15,3,2,1,2,3,2,0x0,0x1,0x0,0x0,0,0,Crank,Drank,0,0,0,0,0x88af44c,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Brigand,0x2de,0x329,Brigand,Brigand,BrigandSprite,0,0x8b,0x0,20,5,1,5,3,4,12,5,60,20,20,20,20,20,20,2,82,50,30,20,10,20,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af468,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate,0x2ee,0x33a,Pirate,Pirate,PirateSprite,0,PirateCard,0x24,19,4,2,6,3,5,10,5,60,20,20,20,20,20,20,2,75,50,35,25,10,30,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,PirateAnim|IsPointer,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
Berserker,0x2df,0x32a,Berserker,Berserker,BerserkerSprite,0,0x8d,0x26,24,7,6,7,6,7,13,6,60,30,29,28,23,26,25,3,75,50,35,25,10,30,15,4,1,1,1,2,3,0x40,0x1,0x0,0x0,0,0,71,0,0,0,0,0,0x88af498,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
Monk,0x2e4,0x32f,Monk,Monk,MonkSprite,0,0x7a,0x17,18,1,0,2,1,6,6,5,60,20,20,20,20,20,20,2,50,5,35,32,10,45,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,Drank,0,Drank,0,MonkMAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Priest,0x2e6,0x330,Priest,Priest,PriestSprite,0,0x7a,0x15,18,1,0,2,1,5,5,5,60,20,20,20,20,20,20,2,50,5,35,32,8,50,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,31,0,0,0,0x88af4c4,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Bard,0x2e5,0x331,Bard,Bard,BardSprite,0,0x8b,0x0,14,1,2,7,1,0,6,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,0x20,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
PegasusKnight,0x2e7,0x333,PegasusKnight,PegasusKnight,PegasusKnightSprite,0,0x86,0x10,14,4,5,5,3,6,5,7,60,20,20,20,20,20,25,2,65,35,40,40,15,40,35,0,0,0,0,0,0,0x3,0x10,0x0,0x0,0,31,0,0,0,0,0,0,0x88af4dc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Falcoknight,0x2e8,0x334,Falcoknight,Falcoknight,FalcoknightSprite,0,0x87,0x11,20,6,7,7,5,8,6,8,60,23,25,28,23,27,25,3,60,30,30,30,12,45,30,5,2,0,2,2,4,0x3,0x11,0x40,0x0,Drank,Crank,0,0,0,0,0,0,0x88af4e8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Cleric,0x2e9,0x335,Cleric,Cleric,ClericSprite,0,0x7a,0x16,16,1,0,2,0,6,4,5,60,20,20,20,20,20,20,2,50,5,35,32,8,50,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,31,0,0,0,0x88af4f8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Troubadour,0x2ea,0x336,Troubadour,Troubadour,TroubadourSprite,0,0x82,0x19,15,1,2,3,4,7,5,7,60,20,20,20,20,20,25,2,50,20,35,55,15,40,45,0,0,0,0,0,0,0x3,0x4,0x0,0x0,0,0,0,0,31,0,0,0,0x88af504,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Valkyrie,0x2eb,0x337,Valkyrie,Valkyrie,ValkyrieSprite,0,0x83,0x1a,19,4,4,5,5,9,6,7,60,23,24,25,24,28,25,3,45,20,25,45,15,45,40,3,1,1,0,2,3,0x3,0x5,0x0,0x0,0,0,0,0,Crank,Drank,Drank,0,ValkyrieAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Dancer,0x2ec,0x338,Dancer,Dancer,DancerSprite,0,0x8b,0x2a,14,1,2,7,0,1,4,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,0x10,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x88af528,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Soldier,0x2ed,0x339,Soldier,Soldier,SoldierSprite,0,0x8a,0x0,22,5,4,3,4,3,8,5,60,20,20,20,20,20,20,2,80,50,35,30,20,20,25,2,2,1,1,2,3,0x0,0x0,0x0,0x0,0,1,0,0,0,0,0,0,0x88af53c,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Necromancer,MagusNameText,DarkMagusDescText,Necromancer,Necromancer,NecromancerSprite,0,0x7f,0x2b,18,9,3,5,3,8,7,6,80,22,25,25,30,30,25,3,45,15,30,25,10,35,20,0,0,0,0,0,0,0x0,0x1,0x0,0x8,0,0,0,0,251,0,0,251,0x88af548,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
