0 ; POP ; ALIGN 4 ; SpellAssociationTable:,Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,##UNKNOWN##,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0x27,0x2a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x28,0x27,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x29,0x25,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,0x0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,0x0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,0x0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2d,0x2d,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,0x2e,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,0x2f,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x30,0x30,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x31,0x31,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x32,0x32,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x33,IronShortbow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0x34,IronLongbow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0x35,0x0,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x36,0x35,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x37,0x36,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x38,0x37,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x39,0x38,2,0x16,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x3a,0x39,2,0x19,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0x3b,0x3c,2,0x1b,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x3c,0x3a,2,0x17,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x3d,0x49,2,0x25,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x3e,Meteor,2,MeteorAnim,0x0,0x0,0x0,0x1,0x0,RedFlash,0x0
0x3f,Arcwind,2,ArcwindAnim,0x0,0x0,0x0,0x1,0x0,GreenFlash,0x0
0x40,0x3f,2,0x1f,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x41,0x41,2,0x22,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x42,0x42,2,0x20,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x43,0x45,2,0x1d,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x44,0x47,2,0x1e,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x45,0x48,2,0x24,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x46,0x4b,2,0x26,0x0,0x0,0x89a4a54,0x1,0x0,0x0,0x0
0x47,0x4c,2,0x27,0x0,0x0,0x89a4abc,0x1,0x0,0x0,0x0
0x48,0x4d,2,0x28,0x0,0x0,0x89a4b24,0x1,0x0,0x0,0x0
0x49,0x4e,2,0x29,0x0,0x0,0x89a4b8c,0x1,0x0,0x0,0x0
0x4a,0x4f,1,0x2a,0x0,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x4b,0x54,2,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x4c,0x55,2,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x4d,0x50,2,0x2c,0x0,0x0,0x89a4f44,0x0,0x0,0x0,0x0
0x4e,0x51,2,0x2d,0x0,0x0,0x89a4ea4,0x0,0x0,0x0,0x0
0x4f,0x52,2,0x2e,0x0,0x0,0x89a4d64,0x0,0x0,0x0,0x0
0x50,0x56,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x51,0x57,2,0x2f,0x0,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x52,0x53,2,0x30,0x0,0x0,0x89a4cc4,0x0,0x0,0x0,0x0
0x53,0x58,1,0xfe,0xff,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
0x54,0x59,2,0x31,0x0,0x0,0x89a518c,0x0,0x0,0x0,0x0
0x55,0x64,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x56,0x65,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x57,0x66,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x58,0x67,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x59,0x68,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5a,0x88,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5b,0x8a,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5c,Ragnorak,2,RagnorakAnim,0x0,0x0,0x0,0x1,0x0,DarkFlash,0x0
0x5d,0x97,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5e,0x98,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5f,0x99,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x60,0x6c,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x61,0xa2,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x62,0x6d,1,0xfe,0xff,0x0,0x89a49a4,0x1,0x1,0x0,0x0
0x63,0x6e,1,0xfe,0xff,0x0,0x89a495c,0x0,0x1,0x0,0x0
0x64,0x70,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x65,0x6f,1,0xfe,0xff,0x0,0x89a4914,0x0,0x1,0x0,0x0
0x66,0x6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x67,0x7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x68,0xf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x69,0x11,2,0x1e,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6a,0x1d,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6b,0xc8,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6c,0x29,2,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6d,0x3e,2,0x35,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x6e,0xb6,2,0x1c,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x6f,0x40,2,0x33,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x70,0x43,2,0x37,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x71,Worm,2,WormAnim,0x0,0x0,0x0,0x1,0x0,DarkFlash,0x0
0x72,0x46,2,0x34,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x73,0x0,2,0x36,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x74,Bolganone,2,BolganoneAnim,0x0,0x0,0x0,0x1,0x0,RedFlash,0x0
0x75,0x90,2,0x47,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x76,0x0,2,0x39,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x77,0x7d,2,0x3a,0x0,0x0,0x0,0x0,0x0,0x2,0x0
0x78,0x7e,2,0x3b,0x0,0x0,0x0,0x0,0x0,0x4,0x0
0x79,0x7f,2,0x3c,0x0,0x0,0x0,0x0,0x0,0x4,0x0
0x7a,0x80,2,0x3d,0x0,0x0,0x0,0x0,0x0,0x3,0x0
0x7b,0x81,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7c,0x82,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7d,0x83,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7e,0x84,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x7f,0xa1,2,0x35,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x80,0x5a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x81,0xa7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x82,0xad,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x83,0xae,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x84,0xaf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x85,0xb0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x86,0x8b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x87,0xb1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x88,0xb2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x89,0xb3,2,0x43,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8a,0xb4,2,0x42,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8b,0xb5,2,0x3e,0x0,0x0,0x89a4e04,0x1,0x0,0x0,0x0
0x8c,0xab,2,0x45,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8d,0x87,2,0x3f,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8e,0x4a,2,0x41,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x8f,0xac,2,0x44,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x90,0x8f,2,0x46,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x91,0xc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x92,0x85,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x93,0x78,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x94,0x8d,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x95,0x8e,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x96,0x91,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x97,0x92,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x98,0x93,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x99,0x94,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,ShortAxe,2,HandAxeAnim,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,0x86,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,0x8c,1,0x2b,0x0,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x9d,0xa6,2,0xff,0xff,0x0,0x89a481c,0x0,0x0,0x0,0x0
0x9e,0xa8,2,0x40,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,0xa9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa0,0xaa,2,0x13,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0xa1,Elwind,2,ElwindAnim,0x0,0x0,0x0,0x1,0x0,GreenFlash,0x0
0xa2,Thoron,2,ThoronAnim,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0xa3,Tornado,2,TornadoAnim,0x0,0x0,0x0,0x1,0x0,GreenFlash,0x0
0xa4,Wind,2,WindAnim,0x0,0x0,0x0,0x1,0x0,GreenFlash,0x0
0xa5,Dulam,2,DulamAnim,0x0,0x0,0x0,0x1,0x0,DarkFlash,0x0
0xa6,Slime,2,SlimeAnim,0x0,0x0,0x0,0x1,0x0,DarkFlash,0x0
0xa7,Swarm,2,SwarmAnim,0x0,0x0,0x0,0x1,0x0,DarkFlash,0x0
0xa8,Bolting,2,0x1A,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0xa9,Artimes,2,ArtimesAnim,0x0,0x0,0x0,0x1,0x0,YellowFlash,0x0
0xaa,Thani,2,AuraAnim,0x0,0x0,0x0,0x1,0x0,YellowFlash,0x0
0xab,Exordium,2,ExordiumAnim,0x0,0x0,0x0,0x1,0x0,YellowFlash,0x0
0xac,Starlight,2,StarlightAnim,0x0,0x0,0x0,0x1,0x0,YellowFlash,0x0
0xad,DevilSword,2,0xff,0xff,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xae,DevilSpear,2,0xff,0xff,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xaf,DevilBow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb0,Flare,2,0x17,0x0,0x0,0x0,0x1,0x0,RedFlash,0x0
0xb1,SteelLongbow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb2,SilverLongbow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb3,SteelShortbow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb4,SilverShortbow,2,ArrowAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb5,Elthunder,2,ElthunderAnim,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0xb6,Arcfire,2,ArcfireAnim,0x0,0x0,0x0,0x1,0x0,RedFlash,0x0
0xb7,Lanceslayer,2,0xff,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb8,Axeslayer,2,0xff,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xb9,Elaqua,2,ElaquaAnim,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0xba,Arcaqua,2,ArcaquaAnim,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0 ; PUSH
